2026-08-30T23:28:41+00:00 BASELINE_OOS {'net': 47340.0, 'pf': 1.3077, 'dd': 1.8676, 'trades': 329}
2026-08-30T23:28:41+00:00 BASELINE_IS {'net': 417882.0, 'pf': 2.2542, 'dd': 3.7942, 'trades': 301}
2026-08-30T23:28:41+00:00 DRIVER_START proposals=4 already_done=0 terminals=2
2026-08-31T00:03:53+00:00 GATE_SKIP id=PP0035 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:03:53+00:00 RUN_START id=PP0040 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:05:27+00:00 RUN_END id=PP0036 window=IS decision=IS_REJECT elapsed=281.127s
2026-08-31T00:05:27+00:00 GATE_SKIP id=PP0036 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:05:27+00:00 RUN_START id=PP0041 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:06:45+00:00 RUN_END id=PP0037 window=IS decision=IS_NOISE_BAND elapsed=300.312s
2026-08-31T00:06:45+00:00 GATE_SKIP id=PP0037 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:06:45+00:00 RUN_START id=PP0042 window=IS terminal=BT3 family=F01_be_atr
2026-08-31T00:07:04+00:00 RUN_END id=PP0038 window=IS decision=IS_NOISE_BAND elapsed=295.022s
2026-08-31T00:07:04+00:00 GATE_SKIP id=PP0038 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:07:04+00:00 RUN_START id=PP0043 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:07:15+00:00 RUN_END id=PP0039 window=IS decision=IS_NOISE_BAND elapsed=280.241s
2026-08-31T00:07:15+00:00 GATE_SKIP id=PP0039 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:07:15+00:00 RUN_START id=PP0044 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:08:03+00:00 RUN_END id=PP0040 window=IS decision=IS_NOISE_BAND elapsed=250.06s
2026-08-31T00:08:03+00:00 GATE_SKIP id=PP0040 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:08:03+00:00 RUN_START id=PP0045 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:09:48+00:00 RUN_END id=PP0041 window=IS decision=IS_NOISE_BAND elapsed=260.896s
2026-08-31T00:09:48+00:00 GATE_SKIP id=PP0041 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:09:48+00:00 RUN_START id=PP0046 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:11:31+00:00 RUN_END id=PP0042 window=IS decision=IS_NOISE_BAND elapsed=285.354s
2026-08-31T00:11:31+00:00 GATE_SKIP id=PP0042 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:11:31+00:00 RUN_START id=PP0047 window=IS terminal=BT3 family=F01_be_atr
2026-08-31T00:11:49+00:00 RUN_END id=PP0043 window=IS decision=IS_REJECT elapsed=284.921s
2026-08-31T00:11:49+00:00 GATE_SKIP id=PP0043 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:11:49+00:00 RUN_START id=PP0048 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:11:50+00:00 RUN_END id=PP0044 window=IS decision=IS_REJECT elapsed=275.041s
2026-08-31T00:11:50+00:00 GATE_SKIP id=PP0044 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:11:50+00:00 RUN_START id=PP0049 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:12:08+00:00 RUN_END id=PP0045 window=IS decision=IS_REJECT elapsed=245.041s
2026-08-31T00:12:08+00:00 GATE_SKIP id=PP0045 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:12:08+00:00 RUN_START id=PP0050 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:14:09+00:00 RUN_END id=PP0046 window=IS decision=IS_REJECT elapsed=260.58s
2026-08-31T00:14:09+00:00 GATE_SKIP id=PP0046 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:14:09+00:00 RUN_START id=PP0051 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:15:49+00:00 RUN_END id=PP0048 window=IS decision=IS_REJECT elapsed=240.19s
2026-08-31T00:15:49+00:00 GATE_SKIP id=PP0048 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:15:49+00:00 RUN_START id=PP0052 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:16:05+00:00 RUN_END id=PP0049 window=IS decision=IS_REJECT elapsed=254.674s
2026-08-31T00:16:05+00:00 GATE_SKIP id=PP0049 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:16:05+00:00 RUN_START id=PP0053 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:16:16+00:00 RUN_END id=PP0047 window=IS decision=IS_REJECT elapsed=285.224s
2026-08-31T00:16:16+00:00 GATE_SKIP id=PP0047 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:16:16+00:00 RUN_START id=PP0054 window=IS terminal=BT3 family=F01_be_atr
2026-08-31T00:17:14+00:00 RUN_END id=PP0050 window=IS decision=IS_REJECT elapsed=305.626s
2026-08-31T00:17:14+00:00 GATE_SKIP id=PP0050 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:17:14+00:00 RUN_START id=PP0055 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:18:45+00:00 RUN_END id=PP0051 window=IS decision=IS_REJECT elapsed=276.096s
2026-08-31T00:18:45+00:00 GATE_SKIP id=PP0051 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:18:45+00:00 RUN_START id=PP0056 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:19:00+00:00 RUN_END id=PP0053 window=IS decision=IS_REJECT elapsed=174.498s
2026-08-31T00:19:00+00:00 GATE_SKIP id=PP0053 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:19:00+00:00 RUN_START id=PP0057 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:20:09+00:00 RUN_END id=PP0052 window=IS decision=IS_REJECT elapsed=260.007s
2026-08-31T00:20:09+00:00 GATE_SKIP id=PP0052 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:20:09+00:00 RUN_START id=PP0058 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:21:06+00:00 RUN_END id=PP0054 window=IS decision=IS_REJECT elapsed=289.851s
2026-08-31T00:21:06+00:00 GATE_SKIP id=PP0054 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:21:06+00:00 RUN_START id=PP0059 window=IS terminal=BT3 family=F01_be_atr
2026-08-31T00:22:04+00:00 RUN_END id=PP0055 window=IS decision=IS_REJECT elapsed=290.078s
2026-08-31T00:22:04+00:00 GATE_SKIP id=PP0055 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:22:04+00:00 RUN_START id=PP0060 window=IS terminal=BT1 family=F01_be_atr
2026-08-31T00:22:55+00:00 RUN_END id=PP0057 window=IS decision=IS_REJECT elapsed=235.094s
2026-08-31T00:22:55+00:00 GATE_SKIP id=PP0057 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:22:55+00:00 RUN_START id=PP0061 window=IS terminal=BT4 family=F01_be_atr
2026-08-31T00:23:35+00:00 RUN_END id=PP0056 window=IS decision=IS_REJECT elapsed=290.64s
2026-08-31T00:23:35+00:00 GATE_SKIP id=PP0056 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:23:35+00:00 RUN_START id=PP0062 window=IS terminal=PROD family=F01_be_atr
2026-08-31T00:24:14+00:00 RUN_END id=PP0058 window=IS decision=IS_REJECT elapsed=244.743s
2026-08-31T00:24:14+00:00 GATE_SKIP id=PP0058 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:24:14+00:00 RUN_START id=PP0063 window=IS terminal=BT2 family=F01_be_atr
2026-08-31T00:25:36+00:00 RUN_END id=PP0059 window=IS decision=IS_REJECT elapsed=270.399s
2026-08-31T00:25:36+00:00 GATE_SKIP id=PP0059 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:25:36+00:00 RUN_START id=PP0064 window=IS terminal=BT3 family=F02_be_r
2026-08-31T00:26:59+00:00 RUN_END id=PP0060 window=IS decision=IS_REJECT elapsed=295.276s
2026-08-31T00:26:59+00:00 GATE_SKIP id=PP0060 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:26:59+00:00 RUN_START id=PP0065 window=IS terminal=BT1 family=F02_be_r
2026-08-31T00:27:10+00:00 RUN_END id=PP0061 window=IS decision=IS_REJECT elapsed=255.039s
2026-08-31T00:27:10+00:00 GATE_SKIP id=PP0061 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:27:10+00:00 RUN_START id=PP0066 window=IS terminal=BT4 family=F02_be_r
2026-08-31T00:28:41+00:00 RUN_END id=PP0062 window=IS decision=IS_REJECT elapsed=305.8s
2026-08-31T00:28:41+00:00 GATE_SKIP id=PP0062 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:28:41+00:00 RUN_START id=PP0067 window=IS terminal=PROD family=F02_be_r
2026-08-31T00:28:48+00:00 RUN_END id=PP0063 window=IS decision=IS_REJECT elapsed=274.943s
2026-08-31T00:28:48+00:00 GATE_SKIP id=PP0063 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:28:48+00:00 RUN_START id=PP0068 window=IS terminal=BT2 family=F02_be_r
2026-08-31T00:29:42+00:00 RUN_END id=PP0064 window=IS decision=IS_REJECT elapsed=245.712s
2026-08-31T00:29:42+00:00 GATE_SKIP id=PP0064 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:29:42+00:00 RUN_START id=PP0069 window=IS terminal=BT3 family=F02_be_r
2026-08-31T00:30:25+00:00 RUN_END id=PP0065 window=IS decision=IS_REJECT elapsed=205.303s
2026-08-31T00:30:25+00:00 GATE_SKIP id=PP0065 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:30:25+00:00 RUN_START id=PP0070 window=IS terminal=BT1 family=F02_be_r
2026-08-31T00:31:55+00:00 RUN_END id=PP0066 window=IS decision=IS_REJECT elapsed=285.455s
2026-08-31T00:31:55+00:00 GATE_SKIP id=PP0066 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:31:55+00:00 RUN_START id=PP0071 window=IS terminal=BT4 family=F02_be_r
2026-08-31T00:33:22+00:00 RUN_END id=PP0067 window=IS decision=IS_REJECT elapsed=280.674s
2026-08-31T00:33:22+00:00 GATE_SKIP id=PP0067 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:33:22+00:00 RUN_START id=PP0072 window=IS terminal=PROD family=F02_be_r
2026-08-31T00:33:48+00:00 RUN_END id=PP0068 window=IS decision=IS_REJECT elapsed=299.707s
2026-08-31T00:33:48+00:00 GATE_SKIP id=PP0068 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:33:48+00:00 RUN_START id=PP0073 window=IS terminal=BT2 family=F02_be_r
2026-08-31T00:34:35+00:00 RUN_END id=PP0070 window=IS decision=IS_NOISE_BAND elapsed=250.599s
2026-08-31T00:34:35+00:00 GATE_SKIP id=PP0070 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:34:35+00:00 RUN_START id=PP0074 window=IS terminal=BT1 family=F02_be_r
2026-08-31T00:34:43+00:00 RUN_END id=PP0069 window=IS decision=IS_REJECT elapsed=301.017s
2026-08-31T00:34:43+00:00 GATE_SKIP id=PP0069 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:34:43+00:00 RUN_START id=PP0075 window=IS terminal=BT3 family=F02_be_r
2026-08-31T00:36:45+00:00 RUN_END id=PP0071 window=IS decision=IS_REJECT elapsed=289.755s
2026-08-31T00:36:45+00:00 GATE_SKIP id=PP0071 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:36:45+00:00 RUN_START id=PP0076 window=IS terminal=BT4 family=F02_be_r
2026-08-31T00:38:53+00:00 RUN_END id=PP0072 window=IS decision=IS_REJECT elapsed=331.287s
2026-08-31T00:38:53+00:00 GATE_SKIP id=PP0072 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:38:53+00:00 RUN_START id=PP0077 window=IS terminal=PROD family=F02_be_r
2026-08-31T00:39:04+00:00 RUN_END id=PP0073 window=IS decision=IS_REJECT elapsed=315.466s
2026-08-31T00:39:04+00:00 GATE_SKIP id=PP0073 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:39:04+00:00 RUN_START id=PP0078 window=IS terminal=BT2 family=F02_be_r
2026-08-31T00:39:51+00:00 RUN_END id=PP0074 window=IS decision=IS_REJECT elapsed=315.727s
2026-08-31T00:39:51+00:00 GATE_SKIP id=PP0074 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:39:51+00:00 RUN_START id=PP0079 window=IS terminal=BT1 family=F02_be_r
2026-08-31T00:39:59+00:00 RUN_END id=PP0075 window=IS decision=IS_REJECT elapsed=315.786s
2026-08-31T00:39:59+00:00 GATE_SKIP id=PP0075 window=OOS reason=IS_NOT_SURVIVOR decision=IS_REJECT
2026-08-31T00:39:59+00:00 RUN_START id=PP0080 window=IS terminal=BT3 family=F02_be_r
2026-08-31T00:40:31+00:00 RUN_END id=PP0076 window=IS decision=IS_NOISE_BAND elapsed=225.944s
2026-08-31T00:40:31+00:00 GATE_SKIP id=PP0076 window=OOS reason=IS_NOT_SURVIVOR decision=IS_NOISE_BAND
2026-08-31T00:40:31+00:00 RUN_START id=PP0081 window=IS terminal=BT4 family=F02_be_r
2026-08-31T00:42:59+00:00 RUN_END id=PP0077 window=IS decision=IS_NOISE_BAND elapsed=245.831s
