id,sleeve,ea,symbol,base,parameter,value,overrides,model,is_net,is_pf,is_dd,is_n,oos_net,oos_pf,oos_dd,oos_n,survives,strict,tradeoff,status,note
PB_USDJPY__ADX_Period__28,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Period,28,{'ADX_Period': 28},open_prices,10492.0,1.21,12.4923,46,-735.0,0.956,7.1869,14,False,False,False,OK,
PB_USDJPY__ADX_Threshold__15p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Threshold,15.0,{'ADX_Threshold': 15.0},open_prices,22515.0,1.2173,11.8902,84,-10715.0,0.6981,20.5667,29,False,False,False,OK,
PB_USDJPY__ADX_Threshold__20p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Threshold,20.0,{'ADX_Threshold': 20.0},open_prices,40012.0,1.3927,9.0855,78,-7527.0,0.7751,17.5052,27,False,False,False,OK,
PB_USDJPY__ADX_Threshold__27p5,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Threshold,27.5,{'ADX_Threshold': 27.5},open_prices,41850.0,1.6446,7.4685,58,3332.0,1.1551,10.9501,19,True,False,True,OK,
PB_USDJPY__ADX_Threshold__30p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ADX_Threshold,30.0,{'ADX_Threshold': 30.0},open_prices,27266.0,1.4909,10.7986,49,426.0,1.0213,9.5948,16,True,False,False,OK,
PB_USDJPY__ATR_Period__7,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_Period,7,{'ATR_Period': 7},open_prices,48407.0,1.5429,9.3775,71,196.0,1.0065,11.9879,26,True,False,False,OK,
PB_USDJPY__ATR_Period__10,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_Period,10,{'ATR_Period': 10},open_prices,35852.0,1.4268,8.1432,70,-7193.0,0.7624,17.3781,25,False,False,False,OK,
PB_USDJPY__ATR_Period__20,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_Period,20,{'ATR_Period': 20},open_prices,39017.0,1.4462,7.7987,74,-2984.0,0.8821,16.9566,21,False,False,False,OK,
PB_USDJPY__ATR_Period__28,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_Period,28,{'ATR_Period': 28},open_prices,25079.0,1.291,10.6017,76,-5262.0,0.8112,18.1373,22,False,False,False,OK,
PB_USDJPY__ATR_SL_Mult__1p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_SL_Mult,1.0,{'ATR_SL_Mult': 1.0},open_prices,48719.0,1.3194,16.6158,94,-22828.0,0.5715,31.1439,38,False,False,False,OK,
PB_USDJPY__ATR_SL_Mult__2p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_SL_Mult,2.0,{'ATR_SL_Mult': 2.0},open_prices,60599.0,1.6688,7.8937,71,-3299.0,0.8833,16.7942,23,False,False,False,OK,
PB_USDJPY__ATR_SL_Mult__2p5,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_SL_Mult,2.5,{'ATR_SL_Mult': 2.5},open_prices,17828.0,1.2518,12.2167,60,-6913.0,0.7429,19.4952,23,False,False,False,OK,
PB_USDJPY__ATR_SL_Mult__3p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,ATR_SL_Mult,3.0,{'ATR_SL_Mult': 3.0},open_prices,8652.0,1.1423,13.1048,56,-8714.0,0.6063,18.5014,17,False,False,False,OK,
PB_USDJPY__RR_Ratio__1p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,RR_Ratio,1.0,{'RR_Ratio': 1.0},open_prices,14544.0,1.1918,11.4855,89,-7300.0,0.7492,14.3483,30,False,False,False,OK,
PB_USDJPY__RR_Ratio__2p5,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,RR_Ratio,2.5,{'RR_Ratio': 2.5},open_prices,34546.0,1.3851,12.5973,64,-11045.0,0.6626,25.2284,25,False,False,False,OK,
PB_USDJPY__RR_Ratio__3p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,RR_Ratio,3.0,{'RR_Ratio': 3.0},open_prices,26366.0,1.2781,11.2124,64,-8951.0,0.6945,23.7632,22,False,False,False,OK,
PB_USDJPY__RR_Ratio__5p0,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,RR_Ratio,5.0,{'RR_Ratio': 5.0},open_prices,-1935.0,0.9703,15.9014,46,-24885.0,0.1889,29.584,20,False,False,False,OK,
PB_USDJPY__MA_Slope_Lookback__10,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,MA_Slope_Lookback,10,{'MA_Slope_Lookback': 10},open_prices,23484.0,3.2239,3.4376,14,293.0,1.1048,2.7113,3,True,False,True,OK,effective only when trend-strength is enabled
PB_USDJPY__MA_Slope_Lookback__30,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,MA_Slope_Lookback,30,{'MA_Slope_Lookback': 30},open_prices,27525.0,1.2705,9.5253,86,-6564.0,0.8777,22.5707,44,False,False,False,OK,effective only when trend-strength is enabled
PB_USDJPY__MA_Slope_Lookback__40,PB_USDJPY,PullbackTrend,USDJPY,configs/pullback_usdjpy_h4.yaml,MA_Slope_Lookback,40,{'MA_Slope_Lookback': 40},open_prices,23621.0,1.1959,15.9361,97,-15406.0,0.761,27.7837,52,False,False,False,OK,effective only when trend-strength is enabled
PB_GBPJPY__TrendMA_Period__100,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,TrendMA_Period,100,{'TrendMA_Period': 100},open_prices,-13598.0,0.7443,19.4126,45,17496.0,1.2872,13.5884,52,False,False,False,OK,
PB_GBPJPY__TrendMA_Period__150,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,TrendMA_Period,150,{'TrendMA_Period': 150},open_prices,-6084.0,0.8037,11.6802,28,-5478.0,0.8351,23.628,32,False,False,False,OK,
PB_GBPJPY__TrendMA_Period__250,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,TrendMA_Period,250,{'TrendMA_Period': 250},open_prices,7978.0,1.6672,3.9092,11,19649.0,2.0379,11.7568,18,True,False,False,OK,
PB_GBPJPY__TrendMA_Period__300,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,TrendMA_Period,300,{'TrendMA_Period': 300},open_prices,4778.0,1.5295,4.5964,8,8647.0,1.4351,7.2265,16,True,False,False,OK,
PB_GBPJPY__FastEMA_Period__10,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,FastEMA_Period,10,{'FastEMA_Period': 10},open_prices,28750.0,2.4356,5.0754,20,12737.0,1.3975,17.773,28,True,False,False,OK,
PB_GBPJPY__FastEMA_Period__15,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,FastEMA_Period,15,{'FastEMA_Period': 15},open_prices,29372.0,2.5136,5.0576,19,7887.0,1.2403,17.968,29,True,False,False,OK,
PB_GBPJPY__FastEMA_Period__25,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,FastEMA_Period,25,{'FastEMA_Period': 25},open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,True,False,False,OK,
PB_GBPJPY__FastEMA_Period__30,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,FastEMA_Period,30,{'FastEMA_Period': 30},open_prices,34704.0,3.1417,5.0447,17,15998.0,1.5359,12.496,27,True,False,True,OK,
PB_GBPJPY__FastEMA_Period__35,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,FastEMA_Period,35,{'FastEMA_Period': 35},open_prices,33105.0,2.8595,4.9199,17,8647.0,1.2938,14.088,26,True,False,False,OK,
PB_GBPJPY__SlowEMA_Period__35,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,SlowEMA_Period,35,{'SlowEMA_Period': 35},open_prices,35946.0,3.8015,4.6926,14,20684.0,1.8218,14.159,23,True,False,True,OK,
PB_GBPJPY__SlowEMA_Period__40,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,SlowEMA_Period,40,{'SlowEMA_Period': 40},open_prices,34507.0,3.4181,5.9298,15,20655.0,1.8197,14.159,23,True,False,True,OK,
PB_GBPJPY__SlowEMA_Period__60,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,SlowEMA_Period,60,{'SlowEMA_Period': 60},open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,True,False,False,OK,
PB_GBPJPY__SlowEMA_Period__75,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,SlowEMA_Period,75,{'SlowEMA_Period': 75},open_prices,49977.0,3.288,6.3495,18,13988.0,1.439,14.159,27,True,False,False,OK,
PB_GBPJPY__SlowEMA_Period__100,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,SlowEMA_Period,100,{'SlowEMA_Period': 100},open_prices,48201.0,3.0408,6.3495,19,11323.0,1.3279,17.155,29,True,False,False,OK,
PB_GBPJPY__ADX_Period__7,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Period,7,{'ADX_Period': 7},open_prices,24028.0,2.5977,3.6444,16,17505.0,1.5619,15.4172,25,True,False,False,OK,
PB_GBPJPY__ADX_Period__10,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Period,10,{'ADX_Period': 10},open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,True,False,False,OK,
PB_GBPJPY__ADX_Period__20,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Period,20,{'ADX_Period': 20},open_prices,35558.0,4.7304,3.6481,11,-2152.0,0.9016,13.513,18,False,False,False,OK,
PB_GBPJPY__ADX_Period__28,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Period,28,{'ADX_Period': 28},open_prices,18832.0,4.0943,2.741,8,-7692.0,0.6081,12.137,17,False,False,False,OK,
PB_GBPJPY__ADX_Threshold__15p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Threshold,15.0,{'ADX_Threshold': 15.0},open_prices,24028.0,2.5977,3.6444,16,14244.0,1.4139,17.3391,28,True,False,False,OK,
PB_GBPJPY__ADX_Threshold__20p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Threshold,20.0,{'ADX_Threshold': 20.0},open_prices,32786.0,3.0181,4.47,17,17505.0,1.5619,15.4172,25,True,False,False,OK,
PB_GBPJPY__ADX_Threshold__27p5,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Threshold,27.5,{'ADX_Threshold': 27.5},open_prices,33275.0,3.134,4.9414,16,16111.0,1.6182,15.352,25,True,False,False,OK,
PB_GBPJPY__ADX_Threshold__30p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ADX_Threshold,30.0,{'ADX_Threshold': 30.0},open_prices,34242.0,3.3412,4.9414,15,22692.0,2.1649,11.325,20,True,True,False,OK,
PB_GBPJPY__ATR_Period__7,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_Period,7,{'ATR_Period': 7},open_prices,39094.0,2.6456,5.3921,20,6446.0,1.2097,14.4128,26,True,False,False,OK,
PB_GBPJPY__ATR_Period__10,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_Period,10,{'ATR_Period': 10},open_prices,19275.0,1.9327,4.5232,19,13583.0,1.4139,9.7691,27,True,False,False,OK,
PB_GBPJPY__ATR_Period__20,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_Period,20,{'ATR_Period': 20},open_prices,38534.0,3.639,5.6016,15,-2649.0,0.8975,12.789,22,False,False,False,OK,
PB_GBPJPY__ATR_Period__28,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_Period,28,{'ATR_Period': 28},open_prices,34920.0,3.9611,6.2879,12,4977.0,1.2212,8.863,20,True,False,False,OK,
PB_GBPJPY__ATR_SL_Mult__1p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_SL_Mult,1.0,{'ATR_SL_Mult': 1.0},open_prices,15282.0,1.3854,14.9367,26,20233.0,1.2785,19.0399,50,True,False,False,OK,
PB_GBPJPY__ATR_SL_Mult__2p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_SL_Mult,2.0,{'ATR_SL_Mult': 2.0},open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,True,False,False,OK,
PB_GBPJPY__ATR_SL_Mult__2p5,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_SL_Mult,2.5,{'ATR_SL_Mult': 2.5},open_prices,25492.0,4.0312,3.0023,10,11880.0,1.4903,9.994,21,True,False,False,OK,
PB_GBPJPY__ATR_SL_Mult__3p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,ATR_SL_Mult,3.0,{'ATR_SL_Mult': 3.0},open_prices,5526.0,1.537,3.9354,10,-8140.0,0.6494,13.855,18,False,False,False,OK,
PB_GBPJPY__RR_Ratio__1p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,RR_Ratio,1.0,{'RR_Ratio': 1.0},open_prices,11992.0,1.8676,4.2292,25,-13470.0,0.6531,17.3664,44,False,False,False,OK,
PB_GBPJPY__RR_Ratio__2p5,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,RR_Ratio,2.5,{'RR_Ratio': 2.5},open_prices,25042.0,2.8338,3.2672,17,-3427.0,0.915,17.8481,34,False,False,False,OK,
PB_GBPJPY__RR_Ratio__3p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,RR_Ratio,3.0,{'RR_Ratio': 3.0},open_prices,28095.0,3.0753,3.2192,15,3082.0,1.0743,16.6296,33,True,False,False,OK,
PB_GBPJPY__RR_Ratio__5p0,PB_GBPJPY,PullbackTrend,GBPJPY,configs/pullback_gbpjpy_h4.yaml,RR_Ratio,5.0,{'RR_Ratio': 5.0},open_prices,42787.0,4.7708,3.818,11,9531.0,1.3145,15.123,24,True,False,False,OK,
PB_AUDJPY__TrendMA_Period__100,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,TrendMA_Period,100,{'TrendMA_Period': 100},open_prices,-20259.0,0.5823,21.4189,80,-13.0,0.9996,10.5068,85,False,False,False,OK,
PB_AUDJPY__TrendMA_Period__150,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,TrendMA_Period,150,{'TrendMA_Period': 150},open_prices,2158.0,1.1209,3.0965,39,-4359.0,0.814,8.3567,56,False,False,False,OK,
PB_AUDJPY__TrendMA_Period__250,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,TrendMA_Period,250,{'TrendMA_Period': 250},open_prices,1396.0,1.1362,2.2473,24,3703.0,1.3003,7.532,37,True,False,False,OK,
PB_AUDJPY__TrendMA_Period__300,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,TrendMA_Period,300,{'TrendMA_Period': 300},open_prices,-78.0,0.9913,3.4794,21,11408.0,2.9809,1.8336,27,False,False,False,OK,
PB_AUDJPY__FastEMA_Period__10,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,FastEMA_Period,10,{'FastEMA_Period': 10},open_prices,-1043.0,0.9433,5.2717,42,1423.0,1.0908,4.4016,41,False,False,False,OK,
PB_AUDJPY__FastEMA_Period__15,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,FastEMA_Period,15,{'FastEMA_Period': 15},open_prices,429.0,1.0286,5.2387,36,241.0,1.0146,4.8787,43,True,False,False,OK,
PB_AUDJPY__FastEMA_Period__25,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,FastEMA_Period,25,{'FastEMA_Period': 25},open_prices,1745.0,1.1724,1.9996,25,-2586.0,0.8436,7.6758,41,False,False,False,OK,
PB_AUDJPY__FastEMA_Period__30,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,FastEMA_Period,30,{'FastEMA_Period': 30},open_prices,-1.0,0.9999,2.9268,27,-1568.0,0.8971,6.4314,39,False,False,False,OK,
PB_AUDJPY__FastEMA_Period__35,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,FastEMA_Period,35,{'FastEMA_Period': 35},open_prices,-2448.0,0.8273,4.266,31,-1372.0,0.8856,4.7477,31,False,False,False,OK,
PB_AUDJPY__SlowEMA_Period__35,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,SlowEMA_Period,35,{'SlowEMA_Period': 35},open_prices,3310.0,1.3404,2.2084,26,-2935.0,0.8157,7.8754,39,False,False,False,OK,
PB_AUDJPY__SlowEMA_Period__40,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,SlowEMA_Period,40,{'SlowEMA_Period': 40},open_prices,2855.0,1.2805,2.218,27,-2963.0,0.8143,7.9027,39,False,False,False,OK,
PB_AUDJPY__SlowEMA_Period__60,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,SlowEMA_Period,60,{'SlowEMA_Period': 60},open_prices,847.0,1.0695,3.3671,29,-3007.0,0.8306,7.6846,44,False,False,False,OK,
PB_AUDJPY__SlowEMA_Period__75,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,SlowEMA_Period,75,{'SlowEMA_Period': 75},open_prices,-320.0,0.976,3.9195,31,-4180.0,0.7791,8.8266,46,False,False,False,OK,
PB_AUDJPY__SlowEMA_Period__100,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,SlowEMA_Period,100,{'SlowEMA_Period': 100},open_prices,-2093.0,0.8726,5.2976,35,-4086.0,0.7954,8.7351,48,False,False,False,OK,
PB_AUDJPY__ADX_Period__7,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Period,7,{'ADX_Period': 7},open_prices,2738.0,1.1985,3.6203,35,-735.0,0.9621,6.0343,50,False,False,False,OK,
PB_AUDJPY__ADX_Period__10,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Period,10,{'ADX_Period': 10},open_prices,257.0,1.0171,2.8743,36,122.0,1.0066,5.2,48,True,False,False,OK,
PB_AUDJPY__ADX_Period__20,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Period,20,{'ADX_Period': 20},open_prices,1200.0,1.1128,2.7051,26,-1072.0,0.922,6.7684,35,False,False,False,OK,
PB_AUDJPY__ADX_Period__28,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Period,28,{'ADX_Period': 28},open_prices,-869.0,0.9219,5.7744,25,-5395.0,0.5627,8.9473,27,False,False,False,OK,
PB_AUDJPY__ADX_Threshold__15p0,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Threshold,15.0,{'ADX_Threshold': 15.0},open_prices,2675.0,1.193,3.6451,35,-740.0,0.9619,6.0392,50,False,False,False,OK,
PB_AUDJPY__ADX_Threshold__20p0,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Threshold,20.0,{'ADX_Threshold': 20.0},open_prices,-896.0,0.9399,3.6839,35,725.0,1.0413,5.6916,47,False,False,False,OK,
PB_AUDJPY__ADX_Threshold__27p5,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Threshold,27.5,{'ADX_Threshold': 27.5},open_prices,5253.0,1.6837,1.7588,22,-154.0,0.9874,6.1191,32,False,False,False,OK,
PB_AUDJPY__ADX_Threshold__30p0,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ADX_Threshold,30.0,{'ADX_Threshold': 30.0},open_prices,819.0,1.0911,2.915,22,-1806.0,0.8459,7.2853,30,False,False,False,OK,
PB_AUDJPY__ATR_Period__7,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ATR_Period,7,{'ATR_Period': 7},open_prices,-1018.0,0.9286,3.2299,34,904.0,1.0529,8.5865,46,False,False,False,OK,
PB_AUDJPY__ATR_Period__10,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ATR_Period,10,{'ATR_Period': 10},open_prices,-1635.0,0.8737,4.0023,30,3590.0,1.2184,7.4252,45,False,False,False,OK,
PB_AUDJPY__ATR_Period__20,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ATR_Period,20,{'ATR_Period': 20},open_prices,575.0,1.0452,4.0178,30,-5365.0,0.6748,9.8624,39,False,False,False,OK,
PB_AUDJPY__ATR_Period__28,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ATR_Period,28,{'ATR_Period': 28},open_prices,2403.0,1.2091,2.8005,28,-4074.0,0.7392,9.0442,37,False,False,False,OK,
PB_AUDJPY__ATR_SL_Mult__1p0,PB_AUDJPY,PullbackTrend,AUDJPY,configs/pullback_audjpy_h4.yaml,ATR_SL_Mult,1.0,{'ATR_SL_Mult': 1.0},open_prices,-3060.0,0.7122,3.5279,46,-2932.0,0.7617,6.1289,62,False,False,False,OK,
