id,family,overview,rationale,test_method,variation,classification,status,parameter_json,reason,is_net_jpy,is_pf,is_dd_jpy,oos_net_jpy,oos_pf,oos_dd_jpy,effective_lots,run_id,updated_at
GDD01_11,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_11_20260814100613_d11ec1,2026-08-14T01:06:13+00:00
GDD01_12,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_12_20260814100613_1513e3,2026-08-14T01:06:13+00:00
GDD01_13,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_13_20260814100613_449dc8,2026-08-14T01:06:13+00:00
GDD01_14,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_14_20260814100613_e45ad3,2026-08-14T01:06:13+00:00
GDD01_15,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":60,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":60,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_15_20260814100613_c24f26,2026-08-14T01:06:13+00:00
GDD01_16,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":72,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":72,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_16_20260814100613_bc28b5,2026-08-14T01:06:13+00:00
GDD01_17,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":96,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":96,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_17_20260814100613_2bf5b1,2026-08-14T01:06:13+00:00
GDD01_18,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":120,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":120,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_18_20260814100613_6fd96e,2026-08-14T01:06:13+00:00
GDD01_19,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":144,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":144,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_19_20260814100613_4c7b30,2026-08-14T01:06:13+00:00
GDD01_20,overlap_mutex,PBとSCAの新規を相互排他にし同時損失を抑える,2枠DDが各単独DDを上回り損失重複がある,同一EAで相手Magic保有中の発注を拒否,"{""GoldLabOverlapCooldownHours"":168,""GoldLabOverlapPolicy"":1}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":168,""GoldLabOverlapPolicy"":1}",family has no verified SIMVERIFY activation: overlap_mutex,,,,,,,,gdda_is_gdd01_20_20260814100613_0fe63b,2026-08-14T01:06:13+00:00
GDD02_01,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_01_20260814100613_68eb2a,2026-08-14T01:06:13+00:00
GDD02_02,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_02_20260814100613_b8866d,2026-08-14T01:06:13+00:00
GDD02_03,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_03_20260814100613_1fab4c,2026-08-14T01:06:13+00:00
GDD02_04,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_04_20260814100613_8c6a0d,2026-08-14T01:06:13+00:00
GDD02_05,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_05_20260814100613_b6b535,2026-08-14T01:06:13+00:00
GDD02_06,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_06_20260814100613_36b0e1,2026-08-14T01:06:13+00:00
GDD02_07,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_07_20260814100613_9413d5,2026-08-14T01:06:13+00:00
GDD02_08,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_08_20260814100613_c6744f,2026-08-14T01:06:13+00:00
GDD02_09,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_09_20260814100613_cf007d,2026-08-14T01:06:13+00:00
GDD02_10,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_10_20260814100613_cbc77b,2026-08-14T01:06:13+00:00
GDD02_11,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_11_20260814100613_c31db2,2026-08-14T01:06:13+00:00
GDD02_12,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_12_20260814100613_9c8ec1,2026-08-14T01:06:13+00:00
GDD02_13,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_13_20260814100613_a8f7e2,2026-08-14T01:06:13+00:00
GDD02_14,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_14_20260814100613_dc9411,2026-08-14T01:06:13+00:00
GDD02_15,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":60,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":60,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_15_20260814100613_aa3a54,2026-08-14T01:06:13+00:00
GDD02_16,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":72,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":72,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_16_20260814100613_c7c2b3,2026-08-14T01:06:13+00:00
GDD02_17,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":96,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":96,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_17_20260814100613_cf62eb,2026-08-14T01:06:13+00:00
GDD02_18,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":120,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":120,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_18_20260814100613_3f8ce3,2026-08-14T01:06:13+00:00
GDD02_19,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":144,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":144,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_19_20260814100613_e5e2e5,2026-08-14T01:06:13+00:00
GDD02_20,overlap_priority_pb,競合時にPBを優先,PBとSCAの期待値・保有長が異なる,競合時SCAのみ見送り,"{""GoldLabOverlapCooldownHours"":168,""GoldLabOverlapPolicy"":2}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":168,""GoldLabOverlapPolicy"":2}",family has no verified SIMVERIFY activation: overlap_priority_pb,,,,,,,,gdda_is_gdd02_20_20260814100613_5b593a,2026-08-14T01:06:13+00:00
GDD03_01,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":0,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_01_20260814100613_2c852e,2026-08-14T01:06:13+00:00
GDD03_02,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":1,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_02_20260814100613_399003,2026-08-14T01:06:13+00:00
GDD03_03,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":2,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_03_20260814100613_545922,2026-08-14T01:06:13+00:00
GDD03_04,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":4,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_04_20260814100613_31ac5f,2026-08-14T01:06:13+00:00
GDD03_05,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":6,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_05_20260814100613_2e168d,2026-08-14T01:06:13+00:00
GDD03_06,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":8,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_06_20260814100613_c7d124,2026-08-14T01:06:13+00:00
GDD03_07,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":12,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_07_20260814100613_c71d2d,2026-08-14T01:06:13+00:00
GDD03_08,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":16,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_08_20260814100613_a738bd,2026-08-14T01:06:13+00:00
GDD03_09,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":20,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_09_20260814100613_a9c98d,2026-08-14T01:06:13+00:00
GDD03_10,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":24,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_10_20260814100613_fc1a4b,2026-08-14T01:06:13+00:00
GDD03_11,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":30,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_11_20260814100613_766d7e,2026-08-14T01:06:13+00:00
GDD03_12,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":36,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_12_20260814100613_15d65d,2026-08-14T01:06:13+00:00
GDD03_13,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":42,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_13_20260814100613_30d3e4,2026-08-14T01:06:13+00:00
GDD03_14,overlap_priority_sca,競合時にSCAを優先,短期SCAで資金拘束時間を短縮し得る,競合時PBのみ見送り,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":3}",(2)軽微なコード変更,UNVERIFIED_EA_INPUT,"{""GoldLabOverlapCooldownHours"":48,""GoldLabOverlapPolicy"":3}",family has no verified SIMVERIFY activation: overlap_priority_sca,,,,,,,,gdda_is_gdd03_14_20260814100613_86cae0,2026-08-14T01:06:13+00:00
