proposal_id,family,sleeve,parent,description,status,IS_new_net,IS_new_n,IS_parent_net,IS_parent_n,IS_parent_net_delta,IS_parent_n_delta,IS_book_net,IS_dd_jpy,IS_net_ratio,IS_dd_ratio,OOS_new_net,OOS_new_n,OOS_parent_net,OOS_parent_n,OOS_parent_net_delta,OOS_parent_n_delta,OOS_book_net,OOS_dd_jpy,OOS_net_ratio,OOS_dd_ratio,passed,worst_net,IS_sample_ge60
X038,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 10-11時,評価済み,-131885.0,524,73773.0,684,,,84395.0,167611.0,,,-14378.0,471,42219.0,621,,,46371.0,70110.0,,,False,-131885.0,True
X039,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 10-12時,評価済み,-111258.0,844,73773.0,684,,,105022.0,125680.0,,,56772.0,813,42219.0,621,,,117521.0,54222.0,,,False,-111258.0,True
X040,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 11-12時,評価済み,-7442.0,347,73773.0,684,,,208838.0,95597.0,,,30442.0,401,42219.0,621,,,91191.0,31682.0,,,False,-7442.0,True
X041,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 11-13時,評価済み,-46328.0,610,73773.0,684,,,169952.0,115401.0,,,32616.0,668,42219.0,621,,,93365.0,30160.0,,,False,-46328.0,True
X042,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 12-13時,評価済み,-9517.0,209,73773.0,684,,,206763.0,51773.0,,,-38294.0,235,42219.0,621,,,22455.0,58618.0,,,False,-38294.0,True
X043,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 12-14時,評価済み,-98874.0,501,73773.0,684,,,117406.0,111858.0,,,-33882.0,542,42219.0,621,,,26867.0,48424.0,,,False,-98874.0,True
X044,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 13-14時,評価済み,-14022.0,173,73773.0,684,,,202258.0,73110.0,,,18320.0,236,42219.0,621,,,79069.0,23485.0,,,False,-14022.0,True
X045,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 14-15時,評価済み,-37202.0,206,73773.0,684,,,179078.0,102354.0,,,-36681.0,225,42219.0,621,,,24068.0,32456.0,,,False,-37202.0,True
X046,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 14-16時,評価済み,24702.0,562,73773.0,684,,,240982.0,80830.0,,,-31442.0,510,42219.0,621,,,29307.0,51692.0,,,False,-31442.0,True
X047,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 15-16時,評価済み,-10971.0,355,73773.0,684,,,205309.0,84398.0,,,-12249.0,311,42219.0,621,,,48500.0,53907.0,,,False,-12249.0,True
X048,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 15-17時,評価済み,-65589.0,568,73773.0,684,,,150691.0,99169.0,,,-31773.0,485,42219.0,621,,,28976.0,69843.0,,,False,-65589.0,True
X049,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 16-17時,評価済み,-28946.0,324,73773.0,684,,,187334.0,74454.0,,,-56644.0,263,42219.0,621,,,4105.0,63750.0,,,False,-56644.0,True
X050,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 16-18時,評価済み,-28961.0,405,73773.0,684,,,187319.0,67828.0,,,-57579.0,363,42219.0,621,,,3170.0,67544.0,,,False,-57579.0,True
X051,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 17-18時,評価済み,-12972.0,278,73773.0,684,,,203308.0,67835.0,,,-51563.0,264,42219.0,621,,,9186.0,58151.0,,,False,-51563.0,True
X052,G1,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ 17-19時,評価済み,-16415.0,212,73773.0,684,,,199865.0,68467.0,,,-30732.0,198,42219.0,621,,,30017.0,50747.0,,,False,-30732.0,True
X053,G2,gj2,sca_gj,SCA GBPJPY 第2セッション: 締切 17時,評価済み,-93923.0,296,73773.0,684,,,122357.0,101425.0,,,-44317.0,343,42219.0,621,,,16432.0,49593.0,,,False,-93923.0,True
X054,G2,gj2,sca_gj,SCA GBPJPY 第2セッション: 締切 18時,評価済み,-100730.0,385,73773.0,684,,,115550.0,105417.0,,,-80828.0,442,42219.0,621,,,-20079.0,72558.0,,,False,-100730.0,True
X055,G2,gj2,sca_gj,SCA GBPJPY 第2セッション: 締切 19時,評価済み,-98147.0,424,73773.0,684,,,118133.0,111372.0,,,-58460.0,504,42219.0,621,,,2289.0,48967.0,,,False,-98147.0,True
X056,G2,gj2,sca_gj,SCA GBPJPY 第2セッション: 締切 21時,評価済み,-77892.0,465,73773.0,684,,,138388.0,94888.0,,,-62056.0,553,42219.0,621,,,-1307.0,52750.0,,,False,-77892.0,True
X057,G2,gj2,sca_gj,SCA GBPJPY 第2セッション: 締切 22時,評価済み,-79542.0,478,73773.0,684,,,136738.0,94532.0,,,-60675.0,566,42219.0,621,,,74.0,53539.0,,,False,-79542.0,True
X058,G3,gj2,sca_gj,SCA GBPJPY 第2セッション: RR 1.3,評価済み,-106302.0,444,73773.0,684,,,109978.0,106276.0,,,-48734.0,533,42219.0,621,,,12015.0,39880.0,,,False,-106302.0,True
X059,G3,gj2,sca_gj,SCA GBPJPY 第2セッション: RR 1.5,評価済み,-98349.0,444,73773.0,684,,,117931.0,104222.0,,,-54232.0,533,42219.0,621,,,6517.0,46239.0,,,False,-98349.0,True
X060,G3,gj2,sca_gj,SCA GBPJPY 第2セッション: RR 1.7,評価済み,-89790.0,444,73773.0,684,,,126490.0,100434.0,,,-59010.0,533,42219.0,621,,,1739.0,45143.0,,,False,-89790.0,True
X061,G3,gj2,sca_gj,SCA GBPJPY 第2セッション: RR 2.4,評価済み,-95314.0,444,73773.0,684,,,120966.0,99429.0,,,-51259.0,533,42219.0,621,,,9490.0,44204.0,,,False,-95314.0,True
X062,G3,gj2,sca_gj,SCA GBPJPY 第2セッション: RR 3.0,評価済み,-89955.0,444,73773.0,684,,,126325.0,96828.0,,,-46263.0,533,42219.0,621,,,14486.0,43322.0,,,False,-89955.0,True
X063,G4,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ幅 0.2-0.8,評価済み,-140925.0,1028,73773.0,684,,,75355.0,92917.0,,,-117647.0,1016,42219.0,621,,,-56898.0,93304.0,,,False,-140925.0,True
X064,G4,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ幅 0.2-1.4,評価済み,-141188.0,1046,73773.0,684,,,75092.0,96256.0,,,-121400.0,1036,42219.0,621,,,-60651.0,95635.0,,,False,-141188.0,True
X065,G4,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ幅 0.4-0.8,評価済み,-43973.0,170,73773.0,684,,,172307.0,75493.0,,,-24623.0,229,42219.0,621,,,36126.0,28391.0,,,False,-43973.0,True
X066,G4,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ幅 0.4-1.4,評価済み,-44236.0,188,73773.0,684,,,172044.0,78159.0,,,-28376.0,249,42219.0,621,,,32373.0,29454.0,,,False,-44236.0,True
X067,G4,gj2,sca_gj,SCA GBPJPY 第2セッション: レンジ幅 0.5-1.4,評価済み,-13409.0,92,73773.0,684,,,202871.0,66441.0,,,-37422.0,114,42219.0,621,,,23327.0,35460.0,,,False,-37422.0,True
X068,G5,gj2,sca_gj,SCA GBPJPY 第2セッション: バッファ 0.05,評価済み,-98637.0,379,73773.0,684,,,117643.0,107437.0,,,-66844.0,469,42219.0,621,,,-6095.0,51735.0,,,False,-98637.0,True
X069,G5,gj2,sca_gj,SCA GBPJPY 第2セッション: バッファ 0.2,評価済み,-56368.0,209,73773.0,684,,,159912.0,78504.0,,,-62219.0,282,42219.0,621,,,-1470.0,63676.0,,,False,-62219.0,True
X070,G5,gj2,sca_gj,SCA GBPJPY 第2セッション: Boost 1.0,評価済み,-24761.0,444,73773.0,684,,,191519.0,78009.0,,,-22727.0,533,42219.0,621,,,38022.0,42823.0,,,False,-24761.0,True
X071,G5,gj2,sca_gj,SCA GBPJPY 第2セッション: Boost 3.0,評価済み,-47592.0,444,73773.0,684,,,168688.0,86153.0,,,-36518.0,533,42219.0,621,,,24231.0,41355.0,,,False,-47592.0,True
