id,family,base,symbol,overrides,model,is_net,is_pf,is_dd,is_n,oos_net,oos_pf,oos_dd,oos_n,verdict,note
F4_ema20-40_q1m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 40, 'UsePullbackQuality': True, 'UseMomentumConfirm': True}",open_prices,36572.0,1.4568,8.5839,65,-3299.0,0.8833,16.7942,23,reject,
F4_ema20-40_q0m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 40, 'UsePullbackQuality': False, 'UseMomentumConfirm': False}",open_prices,47502.0,1.4734,7.9488,80,4922.0,1.1379,9.6924,31,PASS,
F4_ema20-50_q1m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 50, 'UsePullbackQuality': True, 'UseMomentumConfirm': False}",open_prices,46850.0,1.4412,10.2022,82,470.0,1.0133,11.1616,30,PASS,
F4_ema20-50_q0m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 50, 'UsePullbackQuality': False, 'UseMomentumConfirm': True}",open_prices,51122.0,1.5839,8.0581,71,1682.0,1.0585,16.9197,25,PASS,
F4_ema20-50_q1m1,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 50, 'UsePullbackQuality': True, 'UseMomentumConfirm': True}",open_prices,60599.0,1.6688,7.8937,71,-3299.0,0.8833,16.7942,23,reject,
F4_ema20-50_q0m0,4,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'FastEMA_Period': 20, 'SlowEMA_Period': 50, 'UsePullbackQuality': False, 'UseMomentumConfirm': False}",open_prices,47461.0,1.4553,8.7392,82,2888.0,1.0765,9.6924,32,PASS,
F5_ma160_ema15-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 160, 'FastEMA_Period': 15, 'SlowEMA_Period': 40}",open_prices,-557.0,0.9763,9.162,20,-14629.0,0.6144,26.85,34,reject,
F5_ma160_ema20-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 160, 'FastEMA_Period': 20, 'SlowEMA_Period': 40}",open_prices,94.0,1.0041,8.3959,19,-13264.0,0.6373,25.479,33,reject,
F5_ma160_ema20-50,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 160, 'FastEMA_Period': 20, 'SlowEMA_Period': 50}",open_prices,-845.0,0.9645,9.45,20,-13264.0,0.6373,25.479,33,reject,
F5_ma160_ema25-60,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 160, 'FastEMA_Period': 25, 'SlowEMA_Period': 60}",open_prices,-4371.0,0.8399,10.129,22,-11813.0,0.6663,24.653,33,reject,
F5_ma180_ema15-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 180, 'FastEMA_Period': 15, 'SlowEMA_Period': 40}",open_prices,20260.0,2.3609,5.2087,14,-13619.0,0.6316,27.954,31,reject,
F5_ma180_ema20-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 180, 'FastEMA_Period': 20, 'SlowEMA_Period': 40}",open_prices,20223.0,2.3551,5.2104,14,-12869.0,0.6447,26.439,30,reject,
F5_ma180_ema20-50,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 180, 'FastEMA_Period': 20, 'SlowEMA_Period': 50}",open_prices,19309.0,2.2192,4.6358,15,-13133.0,0.64,26.703,31,reject,
F5_ma180_ema25-60,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 180, 'FastEMA_Period': 25, 'SlowEMA_Period': 60}",open_prices,21097.0,2.5016,3.275,14,1289.0,1.0365,22.2826,29,PASS,
F5_ma200_ema15-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 200, 'FastEMA_Period': 15, 'SlowEMA_Period': 40}",open_prices,32197.0,2.9419,4.7366,17,11047.0,1.3406,16.814,28,PASS,
F5_ma200_ema20-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 200, 'FastEMA_Period': 20, 'SlowEMA_Period': 40}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F5_ma200_ema20-50,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 200, 'FastEMA_Period': 20, 'SlowEMA_Period': 50}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F5_ma200_ema25-60,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 200, 'FastEMA_Period': 25, 'SlowEMA_Period': 60}",open_prices,33133.0,3.1179,5.9298,16,20763.0,1.6392,14.6751,26,PASS,
F5_ma220_ema15-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 220, 'FastEMA_Period': 15, 'SlowEMA_Period': 40}",open_prices,12602.0,1.8795,4.686,14,3328.0,1.1198,13.99,23,PASS,
F5_ma220_ema20-40,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 220, 'FastEMA_Period': 20, 'SlowEMA_Period': 40}",open_prices,12236.0,1.8517,4.7011,14,3977.0,1.1399,15.679,23,PASS,
F5_ma220_ema20-50,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 220, 'FastEMA_Period': 20, 'SlowEMA_Period': 50}",open_prices,12236.0,1.8517,4.7011,14,3977.0,1.1399,15.679,23,PASS,
F5_ma220_ema25-60,5,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'TrendMA_Period': 220, 'FastEMA_Period': 25, 'SlowEMA_Period': 60}",open_prices,14675.0,2.2304,3.0442,13,13143.0,1.4402,13.7104,25,PASS,
F6_ADX_Period-10_MA_Slope_Lookback-12,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 10, 'MA_Slope_Lookback': 12}",open_prices,23278.0,1.5767,9.9456,36,3078.0,1.3965,5.3262,7,PASS,
F6_ADX_Period-10_MA_Slope_Lookback-16,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 10, 'MA_Slope_Lookback': 16}",open_prices,34505.0,1.5004,8.0062,60,-13141.0,0.5086,19.6184,21,reject,
F6_ADX_Period-10_MA_Slope_Lookback-20,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 10, 'MA_Slope_Lookback': 20}",open_prices,25557.0,1.2501,10.9814,82,-7619.0,0.7724,17.5052,27,reject,
F6_ADX_Period-10_MA_Slope_Lookback-28,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 10, 'MA_Slope_Lookback': 28}",open_prices,16074.0,1.1476,9.9853,93,-1629.0,0.9675,19.2954,43,reject,
F6_ADX_Period-12_MA_Slope_Lookback-12,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 12, 'MA_Slope_Lookback': 12}",open_prices,26492.0,1.7064,9.8672,34,3503.0,1.4512,5.3055,7,PASS,
F6_ADX_Period-12_MA_Slope_Lookback-16,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 12, 'MA_Slope_Lookback': 16}",open_prices,36209.0,1.5373,9.8659,58,-8771.0,0.6401,17.6345,18,reject,
F6_ADX_Period-12_MA_Slope_Lookback-20,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 12, 'MA_Slope_Lookback': 20}",open_prices,40770.0,1.4083,9.9933,78,-2422.0,0.9235,16.5741,26,reject,
F6_ADX_Period-12_MA_Slope_Lookback-28,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 12, 'MA_Slope_Lookback': 28}",open_prices,14718.0,1.1404,9.6086,91,-3610.0,0.9303,21.0721,42,reject,
F6_ADX_Period-14_MA_Slope_Lookback-12,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 14, 'MA_Slope_Lookback': 12}",open_prices,30456.0,1.9081,8.0184,32,3806.0,1.5682,4.3615,7,PASS,
F6_ADX_Period-14_MA_Slope_Lookback-16,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 14, 'MA_Slope_Lookback': 16}",open_prices,45278.0,1.7278,8.4931,55,-220.0,0.9871,10.8612,15,reject,
F6_ADX_Period-14_MA_Slope_Lookback-20,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 14, 'MA_Slope_Lookback': 20}",open_prices,60599.0,1.6688,7.8937,71,-3299.0,0.8833,16.7942,23,reject,
F6_ADX_Period-14_MA_Slope_Lookback-28,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 14, 'MA_Slope_Lookback': 28}",open_prices,27679.0,1.2823,9.6747,84,-1846.0,0.9603,19.4901,38,reject,
F6_ADX_Period-18_MA_Slope_Lookback-12,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 18, 'MA_Slope_Lookback': 12}",open_prices,20607.0,1.7487,6.8241,27,1972.0,1.4166,4.4365,5,PASS,
F6_ADX_Period-18_MA_Slope_Lookback-16,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 18, 'MA_Slope_Lookback': 16}",open_prices,42033.0,1.91,8.9128,45,5296.0,1.4133,6.7269,12,PASS,
F6_ADX_Period-18_MA_Slope_Lookback-20,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 18, 'MA_Slope_Lookback': 20}",open_prices,34219.0,1.4927,11.1116,61,3476.0,1.1635,10.7591,18,PASS,
F6_ADX_Period-18_MA_Slope_Lookback-28,6,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ADX_Period': 18, 'MA_Slope_Lookback': 28}",open_prices,9132.0,1.1203,13.3501,73,-1691.0,0.9557,20.0693,30,reject,
F7_atr10_sl1.5_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 10, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 2.0}",open_prices,27435.0,1.2583,7.9139,83,-9509.0,0.7299,19.9149,29,reject,
F7_atr10_sl1.5_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 10, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 3.0}",open_prices,89899.0,1.6862,9.6022,73,-10367.0,0.7401,25.1555,30,reject,
F7_atr10_sl2_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 10, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 2.0}",open_prices,35852.0,1.4268,8.1432,70,-7193.0,0.7624,17.3781,25,reject,
F7_atr10_sl2_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 10, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 3.0}",open_prices,34843.0,1.3983,11.9494,59,-6579.0,0.8003,20.8766,25,reject,
F7_atr14_sl1.5_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 14, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 2.0}",open_prices,44969.0,1.3845,8.8817,82,1067.0,1.0287,14.5794,32,PASS,
F7_atr14_sl1.5_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 14, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 3.0}",open_prices,56053.0,1.4896,9.5307,75,-2281.0,0.9419,24.4759,28,reject,
F7_atr14_sl2_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 14, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 2.0}",open_prices,60599.0,1.6688,7.8937,71,-3299.0,0.8833,16.7942,23,reject,
F7_atr14_sl2_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 14, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 3.0}",open_prices,26366.0,1.2781,11.2124,64,-8951.0,0.6945,23.7632,22,reject,
F7_atr20_sl1.5_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 20, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 2.0}",open_prices,39861.0,1.3505,9.9222,83,-5497.0,0.8518,17.54,30,reject,
F7_atr20_sl1.5_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 20, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 3.0}",open_prices,41699.0,1.3726,9.7603,71,-5645.0,0.8356,24.2928,25,reject,
F7_atr20_sl2_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 20, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 2.0}",open_prices,39017.0,1.4462,7.7987,74,-2984.0,0.8821,16.9566,21,reject,
F7_atr20_sl2_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 20, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 3.0}",open_prices,23084.0,1.2567,11.2659,62,-5593.0,0.7935,21.979,20,reject,
F7_atr28_sl1.5_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 28, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 2.0}",open_prices,14297.0,1.1454,9.0594,81,-9795.0,0.7417,21.3573,30,reject,
F7_atr28_sl1.5_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 28, 'ATR_SL_Mult': 1.5, 'RR_Ratio': 3.0}",open_prices,9525.0,1.0916,12.4325,74,-6074.0,0.8238,24.5275,25,reject,
F7_atr28_sl2_rr2,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 28, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 2.0}",open_prices,25079.0,1.291,10.6017,76,-5262.0,0.8112,18.1373,22,reject,
F7_atr28_sl2_rr3,7,configs/pullback_usdjpy_h4.yaml,USDJPY,"{'ATR_Period': 28, 'ATR_SL_Mult': 2.0, 'RR_Ratio': 3.0}",open_prices,4169.0,1.0531,14.2804,63,-3554.0,0.884,22.5587,23,reject,
F8_be0_tr0_h0,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F8_be1_tr0_h0,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 0}",open_prices,18915.0,2.348,7.4797,20,-14598.0,0.4871,21.312,32,reject,
F8_be0_tr1_h0,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 0}",open_prices,29014.0,3.2717,3.1909,18,-12148.0,0.6855,24.9551,37,reject,
F8_be1_tr1_h0,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 0}",open_prices,30640.0,3.8365,3.2031,19,-12692.0,0.6599,25.7216,38,reject,
F8_be0_tr0_h20,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 20}",open_prices,27205.0,2.9456,5.1569,24,-16319.0,0.6577,28.8955,48,reject,
F8_be1_tr0_h20,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 20}",open_prices,30689.0,3.2834,5.1926,26,-11695.0,0.7398,23.895,48,reject,
F8_be0_tr1_h20,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 20}",open_prices,37012.0,4.2364,5.1569,24,-14555.0,0.685,27.3486,48,reject,
F8_be1_tr1_h20,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 20}",open_prices,30810.0,3.2924,5.1926,26,-6890.0,0.8439,22.3985,48,reject,
F8_be0_tr0_h40,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 40}",open_prices,22909.0,2.2877,5.9568,19,-8083.0,0.8176,23.4301,40,reject,
F8_be1_tr0_h40,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 40}",open_prices,22993.0,2.6918,5.9793,21,-12438.0,0.6909,27.1569,40,reject,
F8_be0_tr1_h40,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 40}",open_prices,28398.0,2.9853,4.9076,20,-8774.0,0.8037,24.6906,41,reject,
F8_be1_tr1_h40,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 40}",open_prices,30024.0,3.4342,4.9263,21,-13330.0,0.6731,28.2097,41,reject,
F8_be1_tr0_h60,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 60}",open_prices,19490.0,2.389,6.9834,20,-12309.0,0.5894,21.4178,33,reject,
F8_be0_tr1_h60,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 60}",open_prices,30174.0,3.3625,3.1611,18,-11515.0,0.7052,24.2339,37,reject,
F8_be1_tr1_h60,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': True, 'BE_Trigger_R': 1.0, 'UseATRTrail': True, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 60}",open_prices,31724.0,3.9369,3.173,19,-11509.0,0.6907,24.9965,38,reject,
F8_be0_tr0_h60,8,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseBreakevenR': False, 'BE_Trigger_R': 1.0, 'UseATRTrail': False, 'Trail_Mult_ATR': 3.0, 'MaxHoldBars': 60}",open_prices,32917.0,2.8552,5.9298,18,-3699.0,0.8817,17.0518,31,reject,
F9_UseStructureTP-true_StructureLookback-20_StructureMinRR-1.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 20, 'StructureMinRR': 1.5}",open_prices,31611.0,2.8415,5.9298,17,18340.0,1.5918,16.3254,28,PASS,
F9_UseStructureTP-true_StructureLookback-20_StructureMinRR-2.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 20, 'StructureMinRR': 2.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-20_StructureMinRR-2.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 20, 'StructureMinRR': 2.5}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-20_StructureMinRR-3.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 20, 'StructureMinRR': 3.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-30_StructureMinRR-1.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 30, 'StructureMinRR': 1.5}",open_prices,31611.0,2.8415,5.9298,17,18475.0,1.5961,16.3043,28,PASS,
F9_UseStructureTP-true_StructureLookback-30_StructureMinRR-2.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 30, 'StructureMinRR': 2.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-30_StructureMinRR-2.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 30, 'StructureMinRR': 2.5}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-30_StructureMinRR-3.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 30, 'StructureMinRR': 3.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-40_StructureMinRR-1.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 40, 'StructureMinRR': 1.5}",open_prices,31611.0,2.8415,5.9298,17,18475.0,1.5961,16.3043,28,PASS,
F9_UseStructureTP-true_StructureLookback-40_StructureMinRR-2.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 40, 'StructureMinRR': 2.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-40_StructureMinRR-2.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 40, 'StructureMinRR': 2.5}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-40_StructureMinRR-3.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 40, 'StructureMinRR': 3.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-60_StructureMinRR-1.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 60, 'StructureMinRR': 1.5}",open_prices,31611.0,2.8415,5.9298,17,18475.0,1.5961,16.3043,28,PASS,
F9_UseStructureTP-true_StructureLookback-60_StructureMinRR-2.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 60, 'StructureMinRR': 2.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-60_StructureMinRR-2.5,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 60, 'StructureMinRR': 2.5}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F9_UseStructureTP-true_StructureLookback-60_StructureMinRR-3.0,9,configs/pullback_gbpjpy_h4.yaml,GBPJPY,"{'UseStructureTP': True, 'StructureLookback': 60, 'StructureMinRR': 3.0}",open_prices,31611.0,2.8415,5.9298,17,14670.0,1.4872,18.132,27,PASS,
F10_eu_RSI_Period-10_BB_Period-16,10,configs/rsi_robust_eurusd_h1.yaml,EURUSD,"{'RSI_Period': 10, 'BB_Period': 16}",open_prices,5526.0,1.0576,9.958,273,-3293.0,0.9602,10.3579,287,reject,
F10_eu_RSI_Period-10_BB_Period-20,10,configs/rsi_robust_eurusd_h1.yaml,EURUSD,"{'RSI_Period': 10, 'BB_Period': 20}",open_prices,3985.0,1.0407,10.8531,276,-780.0,0.9903,11.4274,282,reject,
