portfolio,config,variant,deals,net,single_dd_abs
loo_without_02_funding,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_02_funding,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_02_funding,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_02_funding,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_02_funding,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_02_funding,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_02_funding,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_02_funding,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_02_funding,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_02_funding,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_02_funding,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_02_funding,fundingrev_btcusd_d1.yaml,baseline,74,38893.0,11025.0
loo_without_02_funding,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_03_pb_usd,pullback_usdjpy_h4.yaml,baseline,188,49062.0,18412.0
loo_without_03_pb_usd,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_03_pb_usd,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_03_pb_usd,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_03_pb_usd,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_03_pb_usd,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_03_pb_usd,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_03_pb_usd,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_03_pb_usd,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_03_pb_usd,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_03_pb_usd,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_03_pb_usd,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_03_pb_usd,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_03_pb_usd,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_03_pb_usd,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_04_pb_gbp,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_04_pb_gbp,pullback_gbpjpy_h4.yaml,baseline,70,69631.0,11325.0
loo_without_04_pb_gbp,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_04_pb_gbp,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_04_pb_gbp,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_04_pb_gbp,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_04_pb_gbp,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_04_pb_gbp,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_04_pb_gbp,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_04_pb_gbp,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_04_pb_gbp,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_04_pb_gbp,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_04_pb_gbp,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_04_pb_gbp,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_04_pb_gbp,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_05_pb_aud,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_05_pb_aud,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_05_pb_aud,pullback_audjpy_h4.yaml,baseline,138,-599.0,8684.0
loo_without_05_pb_aud,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_05_pb_aud,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_05_pb_aud,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_05_pb_aud,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_05_pb_aud,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_05_pb_aud,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_05_pb_aud,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_05_pb_aud,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_05_pb_aud,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_05_pb_aud,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_05_pb_aud,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_05_pb_aud,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_06_rsi_usd,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_06_rsi_usd,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_06_rsi_usd,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_06_rsi_usd,rsi_robust_usdjpy_h4.yaml,baseline,350,7580.0,17300.0
loo_without_06_rsi_usd,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_06_rsi_usd,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_06_rsi_usd,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_06_rsi_usd,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_06_rsi_usd,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_06_rsi_usd,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_06_rsi_usd,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_06_rsi_usd,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_06_rsi_usd,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_06_rsi_usd,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_06_rsi_usd,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_07_carry,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_07_carry,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_07_carry,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_07_carry,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_07_carry,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_07_carry,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_07_carry,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_07_carry,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_07_carry,carry_audjpy_d1.yaml,baseline,26,215127.0,28374.0
loo_without_07_carry,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_07_carry,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_07_carry,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_07_carry,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_07_carry,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_07_carry,bfxrev_btcusd_d1.yaml,candidate,124,74532.0,17920.0
loo_without_08_bfx,pullback_usdjpy_h4.yaml,candidate,154,46696.0,11997.0
loo_without_08_bfx,pullback_gbpjpy_h4.yaml,candidate,62,82705.0,11325.0
loo_without_08_bfx,pullback_audjpy_h4.yaml,candidate,96,11776.0,8507.0
loo_without_08_bfx,rsi_robust_usdjpy_h4.yaml,candidate,414,15840.0,11138.0
loo_without_08_bfx,rsi_robust_eurusd_h1.yaml,baseline,1138,10982.0,15556.0
loo_without_08_bfx,rsi_robust_gbpusd_h4.yaml,baseline,266,31558.0,4052.0
loo_without_08_bfx,pairtrade_eurusd_gbpusd.yaml,baseline,284,20899.0,9259.0
loo_without_08_bfx,pullback_gold_h4.yaml,baseline,224,166103.0,21447.0
loo_without_08_bfx,carry_audjpy_d1.yaml,candidate,26,218540.0,24961.0
loo_without_08_bfx,sca_usdjpy_m15.yaml,baseline,1228,18673.0,11283.0
loo_without_08_bfx,sca_gbpjpy_m15.yaml,candidate,2298,129486.0,32233.0
loo_without_08_bfx,sca_gold_m15.yaml,baseline,1030,236398.0,27975.0
loo_without_08_bfx,eth_ea_d1.yaml,baseline,98,8083.0,3274.0
loo_without_08_bfx,fundingrev_btcusd_d1.yaml,candidate,94,60168.0,11201.0
loo_without_08_bfx,bfxrev_btcusd_d1.yaml,baseline,116,57551.0,18018.0
