id,family,overview,rationale,test_method,variation,implementation_class,status,parameter_json,unverified_reason
OAFX0017,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=1.0; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0018,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=1.0; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0019,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=1.0; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0020,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.35; OafxGJMaxRange=1.0; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.35, ""OafxLabMode"": 1}",
OAFX0021,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.7; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0022,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.7; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0023,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.7; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0024,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.7; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0025,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.7; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0026,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.8; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0027,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.8; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0028,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.8; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0029,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.8; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0030,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.8; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0031,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.9; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0032,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.9; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0033,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.9; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0034,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.9; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0035,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=0.9; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0036,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=1.0; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0037,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=1.0; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0038,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=1.0; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0039,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=1.0; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0040,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.4; OafxGJMaxRange=1.0; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 1.0, ""OafxGJMinRange"": 0.4, ""OafxLabMode"": 1}",
OAFX0041,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.7; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0042,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.7; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0043,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.7; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0044,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.7; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0045,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.7; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.7, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0046,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.8; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0047,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.8; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0048,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.8; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0049,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.8; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0050,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.8; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.8, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0051,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.9; OafxGJBuffer=0.02,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.02, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0052,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.9; OafxGJBuffer=0.04,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.04, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0053,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.9; OafxGJBuffer=0.06,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.06, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0054,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.9; OafxGJBuffer=0.08,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.08, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
OAFX0055,sca_gj_range_quality,SCA GBPJPYのレンジ幅とブレイクbufferを同時調整,FULL最大DDの81.48%を占める主因枠の偽ブレイクを入口で抑える,Min/Max Range÷ATRdとbufferをEAの発注前に適用して実バックテスト,OafxGJMinRange=0.45; OafxGJMaxRange=0.9; OafxGJBuffer=0.1,2軽微なコード変更,UNTESTED,"{""OafxGJBuffer"": 0.1, ""OafxGJMaxRange"": 0.9, ""OafxGJMinRange"": 0.45, ""OafxLabMode"": 1}",
