proposal_id,family,status,reason,parameter_json
OAFX0939,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 09: 複雑度段階9/10）,{}
OAFX0940,orderbook_liquidity_model,UNVERIFIED_LARGE_DEV,過去板データとOANDA再現可能な執行モデルが存在しない（variant 10: 複雑度段階10/10）,{}
OAFX0941,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 01: 複雑度段階1/10）,{}
OAFX0942,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 02: 複雑度段階2/10）,{}
OAFX0943,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 03: 複雑度段階3/10）,{}
OAFX0944,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 04: 複雑度段階4/10）,{}
OAFX0945,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 05: 複雑度段階5/10）,{}
OAFX0946,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 06: 複雑度段階6/10）,{}
OAFX0947,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 07: 複雑度段階7/10）,{}
OAFX0948,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 08: 複雑度段階8/10）,{}
OAFX0949,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 09: 複雑度段階9/10）,{}
OAFX0950,cross_asset_regime,UNVERIFIED_LARGE_DEV,追加銘柄履歴、欠損処理、モデル凍結手順が必要（variant 10: 複雑度段階10/10）,{}
OAFX0951,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 01: 複雑度段階1/10）,{}
OAFX0952,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 02: 複雑度段階2/10）,{}
OAFX0953,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 03: 複雑度段階3/10）,{}
OAFX0954,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 04: 複雑度段階4/10）,{}
OAFX0955,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 05: 複雑度段階5/10）,{}
OAFX0956,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 06: 複雑度段階6/10）,{}
OAFX0957,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 07: 複雑度段階7/10）,{}
OAFX0958,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 08: 複雑度段階8/10）,{}
OAFX0959,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 09: 複雑度段階9/10）,{}
OAFX0960,online_bayesian_selector,UNVERIFIED_LARGE_DEV,事前分布と更新規則を固定した独立検証基盤が必要（variant 10: 複雑度段階10/10）,{}
OAFX0961,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 01: 複雑度段階1/10）,{}
OAFX0962,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 02: 複雑度段階2/10）,{}
OAFX0963,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 03: 複雑度段階3/10）,{}
OAFX0964,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 04: 複雑度段階4/10）,{}
OAFX0965,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 05: 複雑度段階5/10）,{}
OAFX0966,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 06: 複雑度段階6/10）,{}
OAFX0967,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 07: 複雑度段階7/10）,{}
OAFX0968,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 08: 複雑度段階8/10）,{}
OAFX0969,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 09: 複雑度段階9/10）,{}
OAFX0970,meta_label_model,UNVERIFIED_LARGE_DEV,学習データ分割、特徴量時点監査、モデルEA移植が必要（variant 10: 複雑度段階10/10）,{}
OAFX0971,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 01: 複雑度段階1/10）,{}
OAFX0972,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 02: 複雑度段階2/10）,{}
OAFX0973,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 03: 複雑度段階3/10）,{}
OAFX0974,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 04: 複雑度段階4/10）,{}
OAFX0975,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 05: 複雑度段階5/10）,{}
OAFX0976,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 06: 複雑度段階6/10）,{}
OAFX0977,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 07: 複雑度段階7/10）,{}
OAFX0978,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 08: 複雑度段階8/10）,{}
OAFX0979,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 09: 複雑度段階9/10）,{}
OAFX0980,tail_hedge_engine,UNVERIFIED_LARGE_DEV,新規商品の選定、ヘッジ比率、証拠金一体検証が必要（variant 10: 複雑度段階10/10）,{}
OAFX0981,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 01: 複雑度段階1/10）,{}
OAFX0982,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 02: 複雑度段階2/10）,{}
OAFX0983,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 03: 複雑度段階3/10）,{}
OAFX0984,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 04: 複雑度段階4/10）,{}
OAFX0985,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 05: 複雑度段階5/10）,{}
OAFX0986,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 06: 複雑度段階6/10）,{}
OAFX0987,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 07: 複雑度段階7/10）,{}
OAFX0988,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 08: 複雑度段階8/10）,{}
OAFX0989,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 09: 複雑度段階9/10）,{}
OAFX0990,execution_cost_optimizer,UNVERIFIED_LARGE_DEV,ブローカー別tick/約定履歴と注文シミュレータが必要（variant 10: 複雑度段階10/10）,{}
OAFX0991,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 01: 複雑度段階1/10）,{}
OAFX0992,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 02: 複雑度段階2/10）,{}
OAFX0993,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 03: 複雑度段階3/10）,{}
OAFX0994,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 04: 複雑度段階4/10）,{}
OAFX0995,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 05: 複雑度段階5/10）,{}
OAFX0996,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 06: 複雑度段階6/10）,{}
OAFX0997,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 07: 複雑度段階7/10）,{}
OAFX0998,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 08: 複雑度段階8/10）,{}
OAFX0999,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 09: 複雑度段階9/10）,{}
OAFX1000,walkforward_parameter_controller,UNVERIFIED_LARGE_DEV,ネストしたwalk-forwardとライブ更新障害設計が必要（variant 10: 複雑度段階10/10）,{}
