time,profit,magic,entry
1673971200,0.00,20260640,0
1675296000,0.00,20260622,0
1675310397,2638.00,20260640,1
1675439098,-1030.00,20260622,1
1680710400,0.00,20260640,0
1680724798,-2818.00,20260640,1
1681200000,0.00,20260640,0
1681401598,4630.00,20260640,1
1681401600,0.00,20260640,0
1681487998,-3201.00,20260640,1
1683662400,0.00,20260627,0
1683748798,-1041.00,20260627,1
1684929600,0.00,20260622,0
1685115898,3467.00,20260622,1
1685332800,0.00,20260627,0
1685534397,-1051.00,20260627,1
1685966400,0.00,20260622,0
1685985297,-1894.00,20260622,1
1686312000,0.00,20260622,0
1686340800,0.00,20260627,0
1686599998,-1846.00,20260627,1
1686628800,0.00,20260627,0
1686815998,6687.00,20260627,1
1686816000,0.00,20260627,0
1686816897,3459.00,20260622,1
1687420800,0.00,20260640,0
1687464000,0.00,20260622,0
1687895998,4641.00,20260627,1
1687975198,3186.00,20260622,1
1688054398,4313.00,20260640,1
1688054400,0.00,20260640,0
1688068798,-2389.00,20260640,1
1688356800,0.00,20260622,0
1688371200,0.00,20260627,0
1688633097,-1465.00,20260622,1
1688644797,-987.00,20260627,1
1688659200,0.00,20260627,0
1688731198,-1114.00,20260627,1
1693310400,0.00,20260622,0
1693334698,-1800.00,20260622,1
1693396800,0.00,20260622,0
1693413897,-1616.00,20260622,1
1694174400,0.00,20260622,0
1694411098,-1628.00,20260622,1
1694692800,0.00,20260622,0
1695641398,3688.00,20260622,1
1695657600,0.00,20260622,0
1696353297,2719.00,20260622,1
1700712000,0.00,20260640,0
1700827200,0.00,20260628,0
1701201598,4461.00,20260640,1
1701201600,0.00,20260640,0
1701230398,-455.00,20260628,1
1701662398,4086.00,20260640,1
1703736000,0.00,20260640,0
1703750400,0.00,20260622,0
1703779198,-2163.00,20260640,1
1703836800,0.00,20260640,0
1703851198,-1611.00,20260622,1
1703880000,0.00,20260622,0
1704205797,-1206.00,20260622,1
1704225598,-2439.00,20260640,1
1707408000,0.00,20260622,0
1707768000,0.00,20260627,0
1709783097,-1442.00,20260622,1
1709899200,0.00,20260640,0
1710748798,-4081.00,20260640,1
1710878398,6203.00,20260627,1
1711612800,0.00,20260640,0
1711943998,6294.00,20260640,1
1712318400,0.00,20260640,0
1712563198,8077.00,20260640,1
1712908800,0.00,20260640,0
1713153598,-5033.00,20260640,1
1713441600,0.00,20260622,0
1713456000,0.00,20260640,0
1713504598,-1782.00,20260622,1
1713787198,-5499.00,20260640,1
1714003200,0.00,20260622,0
1714117497,3941.00,20260622,1
1714132800,0.00,20260622,0
1714175098,3270.00,20260622,1
1715284800,0.00,20260628,0
1715673600,0.00,20260622,0
1715673600,0.00,20260640,0
1715772598,-1647.00,20260622,1
1715831998,6109.00,20260640,1
1715832000,0.00,20260640,0
1715889597,-3581.00,20260640,1
1716264000,0.00,20260627,0
1716393600,0.00,20260622,0
1717441198,-1684.00,20260622,1
1717516798,-1552.00,20260627,1
1718812798,2621.00,20260628,1
1718841600,0.00,20260628,0
1718870400,0.00,20260627,0
1718942400,0.00,20260622,0
1719407697,3964.00,20260622,1
1719417600,0.00,20260622,0
1719849598,6433.00,20260627,1
1719849600,0.00,20260627,0
1719857697,2693.00,20260622,1
1719907200,0.00,20260622,0
1720007998,2532.00,20260628,1
1720008000,0.00,20260628,0
1720026897,-1602.00,20260622,1
1720641600,0.00,20260622,0
1720684798,7138.00,20260627,1
1720712698,-1646.00,20260622,1
1720727998,-449.00,20260628,1
1724169600,0.00,20260622,0
1724227200,0.00,20260640,0
1724356798,-4082.00,20260640,1
1724644800,0.00,20260640,0
1725263998,-4215.00,20260640,1
1725550197,2676.00,20260622,1
1725912000,0.00,20260622,0
1726056000,0.00,20260640,0
1726070398,-2523.00,20260640,1
1726128000,0.00,20260640,0
1726171198,5373.00,20260640,1
1726473600,0.00,20260640,0
1726603198,-3237.00,20260640,1
1726632000,0.00,20260640,0
1726732797,-3287.00,20260640,1
1727121600,0.00,20260640,0
1727172898,-2153.00,20260622,1
1727366398,7210.00,20260640,1
1727668800,0.00,20260640,0
1727711998,-3662.00,20260640,1
1727798400,0.00,20260640,0
1728417598,-4733.00,20260640,1
1729094400,0.00,20260640,0
1729497598,5943.00,20260640,1
1729771200,0.00,20260640,0
1729828800,0.00,20260622,0
1729872000,0.00,20260628,0
1730275198,-729.00,20260628,1
1730275198,6604.00,20260640,1
1730275200,0.00,20260640,0
1730390398,-3915.00,20260640,1
1730869198,2060.00,20260622,1
1731297600,0.00,20260622,0
1731531598,2330.00,20260622,1
1735214400,0.00,20260622,0
1735578898,-1757.00,20260622,1
1738900800,0.00,20260640,0
1739246398,8718.00,20260640,1
1739246400,0.00,20260640,0
1739275198,-4907.00,20260640,1
1739390400,0.00,20260640,0
1739894400,0.00,20260622,0
1740041998,3045.00,20260622,1
1740729598,-8442.00,20260640,1
1741665600,0.00,20260622,0
1741706097,-1227.00,20260622,1
1741723200,0.00,20260622,0
1741770897,-1351.00,20260622,1
1741838400,0.00,20260640,0
1741852800,0.00,20260622,0
1741924797,7248.00,20260640,1
1741944598,-1315.00,20260622,1
1742961600,0.00,20260640,0
1743134398,6699.00,20260640,1
1743134400,0.00,20260640,0
1743422398,7504.00,20260640,1
1745006400,0.00,20260622,0
1745302497,3732.00,20260622,1
1748289600,0.00,20260640,0
1748347198,-6458.00,20260640,1
1752595200,0.00,20260628,0
1752695998,-553.00,20260628,1
1757664000,0.00,20260640,0
1758542398,8303.00,20260640,1
1758542400,0.00,20260640,0
1759132798,9958.00,20260640,1
1759132800,0.00,20260640,0
1759723198,12505.00,20260640,1
1759723200,0.00,20260640,0
1759895998,13089.00,20260640,1
1760328000,0.00,20260640,0
1760529598,23324.00,20260640,1
1760976000,0.00,20260640,0
1761076798,-17507.00,20260640,1
1762171200,0.00,20260622,0
1762249498,-1684.00,20260622,1
1762833600,0.00,20260622,0
1763552698,3095.00,20260622,1
1763568000,0.00,20260622,0
1763629198,2867.00,20260622,1
1763956800,0.00,20260622,0
1764131398,-1012.00,20260622,1
1764648000,0.00,20260628,0
1765944000,0.00,20260640,0
1766404798,2721.00,20260628,1
1766433598,16164.00,20260640,1
1766433600,0.00,20260640,0
1767038398,-9673.00,20260640,1
1767729600,0.00,20260628,0
1767873597,-611.00,20260628,1
1767945600,0.00,20260627,0
1767988800,0.00,20260628,0
1768190400,0.00,20260640,0
1768895998,19399.00,20260640,1
1768896000,0.00,20260640,0
1768967998,19896.00,20260640,1
1769126398,2814.00,20260628,1
1769126400,0.00,20260628,0
1769169597,6652.00,20260627,1
1769169598,-692.00,20260628,1
1771617600,0.00,20260640,0
1771905597,25550.00,20260640,1
1771992000,0.00,20260640,0
1772179200,0.00,20260628,0
1772423997,-833.00,20260628,1
1772423998,31857.00,20260640,1
1772424000,0.00,20260640,0
1772539198,-15139.00,20260640,1
1773676800,0.00,20260628,0
1773935997,-789.00,20260628,1
1774915200,0.00,20260622,0
1774980898,-1474.00,20260622,1
1776859200,0.00,20260628,0
1776988798,-454.00,20260628,1
1777363200,0.00,20260640,0
1777478398,19670.00,20260640,1
1777579200,0.00,20260640,0
1778068798,-13483.00,20260640,1
