proposal_id,family,window,description,deals,net_jpy,dd_jpy,fund_net,fund_n,bfx_net,bfx_n,eth_net,eth_n,net_ratio,dd_ratio,gap,passed
C010,F2,IS,funding保有上限 15日,cr_is_C010_20260906232127_3487_deals.csv,625449.0,31966.0,45332.0,32,64378.0,12,16442.0,24,1.0247919936819823,0.9242200826900281,0.10057191099195417,True
C010,F2,OOS,funding保有上限 15日,cr_oos_C010_20260907021022_a77d_deals.csv,111846.0,19670.0,-5688.0,10,15220.0,55,8289.0,20,0.9403960146298398,1.0448316158504196,-0.10443560122057982,False
C011,F2,IS,funding保有上限 25日,cr_is_C011_20260906232546_784f_deals.csv,604862.0,31966.0,24745.0,30,64378.0,12,16442.0,24,0.9910603980220147,0.9242200826900281,0.06684031533198664,True
C011,F2,OOS,funding保有上限 25日,cr_oos_C011_20260907021251_8339_deals.csv,114717.0,18826.0,2059.0,8,15220.0,55,8289.0,20,0.9645352503468281,1.0,-0.03546474965317192,False
C012,F2,IS,funding保有上限 30日,cr_is_C012_20260906233015_ed43_deals.csv,614602.0,31966.0,34485.0,29,64378.0,12,16442.0,24,1.007019291582421,0.9242200826900281,0.0827992088923929,True
C012,F2,OOS,funding保有上限 30日,cr_oos_C012_20260907021525_e767_deals.csv,116114.0,18826.0,3456.0,7,15220.0,55,8289.0,20,0.9762811619792323,1.0,-0.023718838020767685,False
C013,F2,IS,funding保有上限 40日,cr_is_C013_20260906233444_ebc6_deals.csv,612234.0,31966.0,32117.0,29,64378.0,12,16442.0,24,1.0031393470289258,0.9242200826900281,0.07891926433889773,True
C013,F2,OOS,funding保有上限 40日,cr_oos_C013_20260907021759_b147_deals.csv,114835.0,18826.0,2177.0,6,15220.0,55,8289.0,20,0.9655273889099087,1.0,-0.034472611090091254,False
C014,F3,IS,funding閾値 -0.002・上限 10日,cr_is_C014_20260906233919_c49a_deals.csv,612325.0,31966.0,32208.0,41,64378.0,12,16442.0,24,1.0032884496278989,0.9242200826900281,0.07906836693787078,True
C014,F3,OOS,funding閾値 -0.002・上限 10日,cr_oos_C014_20260907022038_ddc6_deals.csv,112528.0,19128.0,-3435.0,12,15220.0,55,8289.0,20,0.9461302392062891,1.016041644534155,-0.06991140532786577,False
C015,F3,IS,funding閾値 -0.002・上限 30日,cr_is_C015_20260906234423_4343_deals.csv,603896.0,31966.0,23779.0,36,64378.0,12,16442.0,24,0.9894776165867629,0.9242200826900281,0.06525753389673483,True
C015,F3,OOS,funding閾値 -0.002・上限 30日,cr_oos_C015_20260907022312_f12b_deals.csv,116114.0,18826.0,3456.0,7,15220.0,55,8289.0,20,0.9762811619792323,1.0,-0.023718838020767685,False
C016,F3,IS,funding閾値 -0.004・上限 10日,cr_is_C016_20260906235007_012a_deals.csv,615549.0,31966.0,35432.0,23,64378.0,12,16442.0,24,1.0085709417057993,0.9242200826900281,0.08435085901577122,True
C016,F3,OOS,funding閾値 -0.004・上限 10日,cr_oos_C016_20260907022546_f482_deals.csv,114099.0,19128.0,-3435.0,12,15220.0,55,8289.0,20,0.9593391348215412,1.016041644534155,-0.0567025097126137,False
C017,F3,IS,funding閾値 -0.004・上限 30日,cr_is_C017_20260906235356_7d83_deals.csv,607613.0,31966.0,27496.0,19,64378.0,12,16442.0,24,0.9955678842832753,0.9242200826900281,0.07134780159324716,True
C017,F3,OOS,funding閾値 -0.004・上限 30日,cr_oos_C017_20260907022815_e272_deals.csv,116114.0,18826.0,3456.0,7,15220.0,55,8289.0,20,0.9762811619792323,1.0,-0.023718838020767685,False
C018,B1,IS,Bfx建玉急減閾値 5.0%,cr_is_C018_20260906235806_fe77_deals.csv,586533.0,34587.0,30201.0,32,40593.0,24,16442.0,24,0.9610285130046959,1.0,-0.03897148699530406,False
C018,B1,OOS,Bfx建玉急減閾値 5.0%,cr_oos_C018_20260907023054_de79_deals.csv,98858.0,21685.0,1401.0,10,-4857.0,71,8289.0,20,0.8311935090595703,1.1518644427918836,-0.32067093373231326,False
C019,B1,IS,Bfx建玉急減閾値 7.5%,cr_is_C019_20260907000240_15a6_deals.csv,590067.0,34587.0,30201.0,32,44127.0,18,16442.0,24,0.9668189370131637,1.0,-0.03318106298683632,False
C019,B1,OOS,Bfx建玉急減閾値 7.5%,cr_oos_C019_20260907023333_d2b3_deals.csv,113862.0,18826.0,1401.0,10,10147.0,61,8289.0,20,0.9573464497414554,1.0,-0.04265355025854456,False
C020,B1,IS,Bfx建玉急減閾値 12.5%,cr_is_C020_20260907000714_b903_deals.csv,592319.0,34587.0,30201.0,32,46379.0,10,16442.0,24,0.9705088167152206,1.0,-0.0294911832847794,False
C020,B1,OOS,Bfx建玉急減閾値 12.5%,cr_oos_C020_20260907023612_4b09_deals.csv,128494.0,18930.0,1401.0,10,24779.0,51,8289.0,20,1.080371631563459,1.0055242749389142,0.07484735662454489,True
C021,B1,IS,Bfx建玉急減閾値 15.0%,cr_is_C021_20260907001143_6e3b_deals.csv,553423.0,34587.0,30201.0,32,7483.0,5,16442.0,24,0.9067781058399064,1.0,-0.09322189416009363,False
C021,B1,OOS,Bfx建玉急減閾値 15.0%,cr_oos_C021_20260907023846_1496_deals.csv,126540.0,22327.0,1401.0,10,22825.0,43,8289.0,20,1.063942489595157,1.1859662169340275,-0.12202372733887046,False
C022,B1,IS,Bfx建玉急減閾値 20.0%,cr_is_C022_20260907001607_b198_deals.csv,550974.0,34587.0,30201.0,32,5034.0,3,16442.0,24,0.9027654435884244,1.0,-0.09723455641157563,False
C022,B1,OOS,Bfx建玉急減閾値 20.0%,cr_oos_C022_20260907024202_4248_deals.csv,114378.0,22327.0,1401.0,10,10663.0,36,8289.0,20,0.9616849539664523,1.1859662169340275,-0.22428126296757522,False
C023,B2,IS,Bfx観測窓 3日,cr_is_C023_20260907002047_c1f3_deals.csv,568048.0,34587.0,30201.0,32,22108.0,7,16442.0,24,0.9307410235319948,1.0,-0.06925897646800516,False
C023,B2,OOS,Bfx観測窓 3日,cr_oos_C023_20260907024426_6833_deals.csv,108845.0,22327.0,1401.0,10,5130.0,53,8289.0,20,0.9151637449026779,1.1859662169340275,-0.27080247203134955,False
C024,B2,IS,Bfx観測窓 5日,cr_is_C024_20260907002511_0d15_deals.csv,583117.0,34587.0,30201.0,32,37177.0,8,16442.0,24,0.9554314308278635,1.0,-0.044568569172136474,False
C024,B2,OOS,Bfx観測窓 5日,cr_oos_C024_20260907024705_da0e_deals.csv,114004.0,18930.0,1401.0,10,10289.0,55,8289.0,20,0.958540379198722,1.0055242749389142,-0.04698389574019213,False
C025,B2,IS,Bfx観測窓 7日,cr_is_C025_20260907002940_6398_deals.csv,613521.0,34587.0,30201.0,32,67581.0,13,16442.0,24,1.0052480837858297,1.0,0.005248083785829749,True
C025,B2,OOS,Bfx観測窓 7日,cr_oos_C025_20260907024944_6fb6_deals.csv,113620.0,18930.0,1401.0,10,9905.0,58,8289.0,20,0.9553117248917475,1.0055242749389142,-0.050212550047166626,False
C026,B2,IS,Bfx観測窓 15日,cr_is_C026_20260907003409_fa4d_deals.csv,590870.0,34587.0,30201.0,32,44930.0,21,16442.0,24,0.9681346445623429,1.0,-0.03186535543765712,False
C026,B2,OOS,Bfx観測窓 15日,cr_oos_C026_20260907025223_8081_deals.csv,114242.0,28242.0,1401.0,10,10527.0,56,8289.0,20,0.9605414722327321,1.5001593540847764,-0.5396178818520443,False
C027,B2,IS,Bfx観測窓 20日,cr_is_C027_20260907003903_fe0d_deals.csv,586261.0,34587.0,30201.0,32,40321.0,22,16442.0,24,0.9605828436978755,1.0,-0.0394171563021245,False
C027,B2,OOS,Bfx観測窓 20日,cr_oos_C027_20260907025456_e20c_deals.csv,103043.0,22327.0,1401.0,10,-672.0,57,8289.0,20,0.8663807962332366,1.1859662169340275,-0.3195854207007909,False
C028,B3,IS,Bfx保有 3日,cr_is_C028_20260907004338_903c_deals.csv,569108.0,34587.0,30201.0,32,23168.0,26,16442.0,24,0.9324778230365154,1.0,-0.06752217696348461,False
C028,B3,OOS,Bfx保有 3日,cr_oos_C028_20260907025730_21c3_deals.csv,106018.0,13858.0,1401.0,10,2303.0,90,8289.0,20,0.8913944591583638,0.7361096356103262,0.15528482354803763,True
C029,B3,IS,Bfx保有 5日,cr_is_C029_20260907004802_c632_deals.csv,596707.0,34587.0,30201.0,32,50767.0,20,16442.0,24,0.9776985112678964,1.0,-0.02230148873210358,False
C029,B3,OOS,Bfx保有 5日,cr_oos_C029_20260907025959_2b9f_deals.csv,104117.0,14717.0,1401.0,10,402.0,71,8289.0,20,0.8754109387480556,0.7817380218846276,0.09367291686342805,True
C030,B3,IS,Bfx保有 7日,cr_is_C030_20260907005231_11c6_deals.csv,613756.0,34587.0,30201.0,32,67816.0,18,16442.0,24,1.0056331289590017,1.0,0.005633128959001699,True
C030,B3,OOS,Bfx保有 7日,cr_oos_C030_20260907030223_770d_deals.csv,111328.0,15883.0,1401.0,10,7613.0,58,8289.0,20,0.9360406944969941,0.843673642834378,0.09236705166261616,True
C031,B3,IS,Bfx保有 15日,cr_is_C031_20260907005700_e173_deals.csv,624556.0,34587.0,30201.0,32,78616.0,11,16442.0,24,1.0233288220239285,1.0,0.023328822023928497,True
C031,B3,OOS,Bfx保有 15日,cr_oos_C031_20260907030457_3d1b_deals.csv,119609.0,25003.0,1401.0,10,15894.0,43,8289.0,20,1.005666960945054,1.3281100605545522,-0.32244309960949824,False
C032,B3,IS,Bfx保有 20日,cr_is_C032_20260907010135_413e_deals.csv,602949.0,34587.0,30201.0,32,57009.0,10,16442.0,24,0.9879259664633847,1.0,-0.012074033536615292,False
C032,B3,OOS,Bfx保有 20日,cr_oos_C032_20260907030736_b991_deals.csv,99641.0,23586.0,1401.0,10,-4074.0,38,8289.0,20,0.8377769369823853,1.2528418145118454,-0.4150648775294601,False
C033,B3,IS,Bfx保有 30日,cr_is_C033_20260907010604_4b8e_deals.csv,595596.0,34587.0,30201.0,32,49656.0,9,16442.0,24,0.975878148768347,1.0,-0.024121851231653002,False
C033,B3,OOS,Bfx保有 30日,cr_oos_C033_20260907031020_0508_deals.csv,88651.0,30601.0,1401.0,10,-15064.0,30,8289.0,20,0.745373523353092,1.6254647827472644,-0.8800912593941723,False
C034,B4,IS,Bfx閾値 7.5%・保有 5日,cr_is_C034_20260907011038_856f_deals.csv,587714.0,34587.0,30201.0,32,41774.0,30,16442.0,24,0.9629635698111476,1.0,-0.03703643018885239,False
C034,B4,OOS,Bfx閾値 7.5%・保有 5日,cr_oos_C034_20260907031309_cd00_deals.csv,102641.0,18981.0,1401.0,10,-1074.0,82,8289.0,20,0.8630007987556229,1.0082332943801127,-0.1452324956244898,False
C035,B4,IS,Bfx閾値 7.5%・保有 20日,cr_is_C035_20260907011507_d575_deals.csv,602903.0,34587.0,30201.0,32,56963.0,14,16442.0,24,0.9878505959188488,1.0,-0.012149404081151172,False
C035,B4,OOS,Bfx閾値 7.5%・保有 20日,cr_oos_C035_20260907031538_5a93_deals.csv,100091.0,28033.0,1401.0,10,-3624.0,41,8289.0,20,0.8415605162483709,1.489057686178689,-0.6474971699303181,False
C036,B4,IS,Bfx閾値 12.5%・保有 5日,cr_is_C036_20260907011936_5d49_deals.csv,588193.0,34587.0,30201.0,32,42253.0,16,16442.0,24,0.9637484065683791,1.0,-0.03625159343162088,False
C036,B4,OOS,Bfx閾値 12.5%・保有 5日,cr_oos_C036_20260907031827_d21d_deals.csv,108821.0,14994.0,1401.0,10,5106.0,64,8289.0,20,0.914961954008492,0.7964517157123128,0.11851023829617924,True
C037,B4,IS,Bfx閾値 12.5%・保有 20日,cr_is_C037_20260907012405_0d88_deals.csv,593943.0,34587.0,30201.0,32,48003.0,9,16442.0,24,0.973169724635354,1.0,-0.026830275364645995,False
C037,B4,OOS,Bfx閾値 12.5%・保有 20日,cr_oos_C037_20260907032051_8821_deals.csv,96276.0,24941.0,1401.0,10,-7439.0,37,8289.0,20,0.8094841720267373,1.3248167428025073,-0.51533257077577,False
C038,X1,IS,両枠同時の有望仮説（未測定）: funding -0.002/10日・Bfx 7.5%/5日,cr_is_C038_20260907012840_e22d_deals.csv,589721.0,31966.0,32208.0,41,41774.0,30,16442.0,24,0.9662520194390465,0.9242200826900281,0.042031936749018395,True
C038,X1,OOS,両枠同時の有望仮説（未測定）: funding -0.002/10日・Bfx 7.5%/5日,cr_oos_C038_20260907032335_3e3d_deals.csv,96234.0,20294.0,-3435.0,12,-1074.0,82,8289.0,20,0.809131037961912,1.0779772654839053,-0.2688462275219933,False
C039,X1,IS,両枠同時の有望仮説（未測定）: funding -0.004/10日・Bfx 12.5%/5日,cr_is_C039_20260907013344_e4d9_deals.csv,593424.0,31966.0,35432.0,23,42253.0,16,16442.0,24,0.9723193482741784,0.9242200826900281,0.04809926558415034,True
C039,X1,OOS,両枠同時の有望仮説（未測定）: funding -0.004/10日・Bfx 12.5%/5日,cr_oos_C039_20260907032604_51d1_deals.csv,103985.0,15191.0,-3435.0,12,5106.0,64,8289.0,20,0.8743010888300332,0.8069159672792946,0.06738512155073861,True
C040,X1,IS,両枠同時の有望仮説（未測定）: funding -0.002/30日・Bfx 12.5%/20日,cr_is_C040_20260907013733_7094_deals.csv,587521.0,31966.0,23779.0,36,48003.0,9,16442.0,24,0.962647341222117,0.9242200826900281,0.03842725853208895,True
C040,X1,OOS,両枠同時の有望仮説（未測定）: funding -0.002/30日・Bfx 12.5%/20日,cr_oos_C040_20260907032828_a00a_deals.csv,93455.0,23598.0,3456.0,7,-7439.0,37,8289.0,20,0.7857653340059696,1.2534792308509508,-0.4677138968449812,False
C041,X1,IS,両枠同時の有望仮説（未測定）: funding -0.004/30日・Bfx 7.5%/20日,cr_is_C041_20260907014322_6014_deals.csv,600198.0,31966.0,27496.0,19,56963.0,14,16442.0,24,0.9834184802021242,0.9242200826900281,0.0591983975120961,True
C041,X1,OOS,両枠同時の有望仮説（未測定）: funding -0.004/30日・Bfx 7.5%/20日,cr_oos_C041_20260907033117_ac49_deals.csv,97270.0,27853.0,3456.0,7,-3624.0,41,8289.0,20,0.8178416782276033,1.4794964410921068,-0.6616547628645034,False
