proposal_id,family,window,status,net,pf,dd_pct,monthly_pct,trades,pb_net,pb_n,sca1_net,sca1_n,sca2_net,sca2_n,eth_net,eth_n,fund_net,fund_n,bfx_net,bfx_n,description,parameter_json,elapsed,run_id,deals
C023,B2,IS,OK,568048.0,2.0924,5.6985,1.8935,458,196940,63,179120,242,123237,91,16442,24,30201,32,22108,6,Bfx観測窓 3日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 3, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",264.2,cr_is_C023_20260907002047_c1f3,cr_is_C023_20260907002047_c1f3_deals.csv
C024,B2,IS,OK,583117.0,2.1292,5.6454,1.9437,459,196940,63,179120,242,123237,91,16442,24,30201,32,37177,7,Bfx観測窓 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 5, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.1,cr_is_C024_20260907002511_0d15,cr_is_C024_20260907002511_0d15_deals.csv
C025,B2,IS,OK,613521.0,2.189,5.4518,2.0451,464,196940,63,179120,242,123237,91,16442,24,30201,32,67581,12,Bfx観測窓 7日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 7, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.1,cr_is_C025_20260907002940_6398,cr_is_C025_20260907002940_6398_deals.csv
C026,B2,IS,OK,590870.0,2.0692,5.4715,1.9696,472,196940,63,179120,242,123237,91,16442,24,30201,32,44930,20,Bfx観測窓 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 15, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",294.3,cr_is_C026_20260907003409_fa4d,cr_is_C026_20260907003409_fa4d_deals.csv
C027,B2,IS,OK,586261.0,2.0521,5.5117,1.9542,473,196940,63,179120,242,123237,91,16442,24,30201,32,40321,21,Bfx観測窓 20日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 20, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.4,cr_is_C027_20260907003903_fe0d,cr_is_C027_20260907003903_fe0d_deals.csv
C028,B3,IS,OK,569108.0,2.0614,5.6516,1.897,477,196940,63,179120,242,123237,91,16442,24,30201,32,23168,25,Bfx保有 3日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 3, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",264.2,cr_is_C028_20260907004338_903c,cr_is_C028_20260907004338_903c_deals.csv
C029,B3,IS,OK,596707.0,2.1462,5.4928,1.989,471,196940,63,179120,242,123237,91,16442,24,30201,32,50767,19,Bfx保有 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 5, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.5,cr_is_C029_20260907004802_c632,cr_is_C029_20260907004802_c632_deals.csv
C030,B3,IS,OK,613756.0,2.1583,5.3895,2.0459,469,196940,63,179120,242,123237,91,16442,24,30201,32,67816,17,Bfx保有 7日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 7, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.1,cr_is_C030_20260907005231_11c6,cr_is_C030_20260907005231_11c6_deals.csv
C031,B3,IS,OK,624556.0,2.2245,5.3162,2.0819,462,196940,63,179120,242,123237,91,16442,24,30201,32,78616,10,Bfx保有 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 15, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.2,cr_is_C031_20260907005700_e173,cr_is_C031_20260907005700_e173_deals.csv
C032,B3,IS,OK,602949.0,2.1614,5.3603,2.0098,461,196940,63,179120,242,123237,91,16442,24,30201,32,57009,9,Bfx保有 20日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 20, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.1,cr_is_C032_20260907010135_413e,cr_is_C032_20260907010135_413e_deals.csv
C033,B3,IS,OK,595596.0,2.1441,5.6022,1.9853,460,196940,63,179120,242,123237,91,16442,24,30201,32,49656,8,Bfx保有 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 30, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.1,cr_is_C033_20260907010604_4b8e,cr_is_C033_20260907010604_4b8e_deals.csv
C034,B4,IS,OK,587714.0,2.0946,5.6143,1.959,481,196940,63,179120,242,123237,91,16442,24,30201,32,41774,29,Bfx閾値 7.5%・保有 5日,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 5, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.1,cr_is_C034_20260907011038_856f,cr_is_C034_20260907011038_856f_deals.csv
C035,B4,IS,OK,602903.0,2.1479,5.4611,2.0097,465,196940,63,179120,242,123237,91,16442,24,30201,32,56963,13,Bfx閾値 7.5%・保有 20日,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 20, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.2,cr_is_C035_20260907011507_d575,cr_is_C035_20260907011507_d575_deals.csv
C036,B4,IS,OK,588193.0,2.126,5.521,1.9606,467,196940,63,179120,242,123237,91,16442,24,30201,32,42253,15,Bfx閾値 12.5%・保有 5日,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 5, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",269.3,cr_is_C036_20260907011936_5d49,cr_is_C036_20260907011936_5d49_deals.csv
C037,B4,IS,OK,593943.0,2.1419,5.3488,1.9798,460,196940,63,179120,242,123237,91,16442,24,30201,32,48003,8,Bfx閾値 12.5%・保有 20日,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 20, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",274.1,cr_is_C037_20260907012405_0d88,cr_is_C037_20260907012405_0d88_deals.csv
C038,X1,IS,OK,589721.0,2.0198,4.4948,1.9657,490,196940,63,179120,242,123237,91,16442,24,32208,41,41774,29,両枠同時の有望仮説（未測定）: funding -0.002/10日・Bfx 7.5%/5日,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 5, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.002}",304.3,cr_is_C038_20260907012840_e22d,cr_is_C038_20260907012840_e22d_deals.csv
C039,X1,IS,OK,593424.0,2.1742,4.3016,1.9781,458,196940,63,179120,242,123237,91,16442,24,35432,23,42253,15,両枠同時の有望仮説（未測定）: funding -0.004/10日・Bfx 12.5%/5日,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 5, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.004}",229.3,cr_is_C039_20260907013344_e4d9,cr_is_C039_20260907013344_e4d9_deals.csv
C040,X1,IS,OK,587521.0,2.0795,4.3925,1.9584,464,196940,63,179120,242,123237,91,16442,24,23779,36,48003,8,両枠同時の有望仮説（未測定）: funding -0.002/30日・Bfx 12.5%/20日,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 20, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.002}",349.3,cr_is_C040_20260907013733_7094,cr_is_C040_20260907013733_7094_deals.csv
C041,X1,IS,OK,600198.0,2.1838,4.4228,2.0007,452,196940,63,179120,242,123237,91,16442,24,27496,19,56963,13,両枠同時の有望仮説（未測定）: funding -0.004/30日・Bfx 7.5%/20日,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 20, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.004}",254.1,cr_is_C041_20260907014322_6014,cr_is_C041_20260907014322_6014_deals.csv
C001,BASE,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,8289,20,1401,10,15220,51,両枠EA既定値・S2046採用済みの基準,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",153.9,cr_oos_C001_20260907014737_d016,cr_oos_C001_20260907014737_d016_deals.csv
C002,F1,OOS,OK,118977.0,1.4967,2.9944,0.4326,470,20752,50,52540,245,20733,94,8289,20,1443,10,15220,51,funding閾値 -0.001,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.001}",154.0,cr_oos_C002_20260907015010_6460,cr_oos_C002_20260907015010_6460_deals.csv
C003,F1,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,8289,20,1401,10,15220,51,funding閾値 -0.002,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.002}",154.0,cr_oos_C003_20260907015244_2b4b,cr_oos_C003_20260907015244_2b4b_deals.csv
C004,F1,OOS,OK,118935.0,1.4964,2.9946,0.4325,470,20752,50,52540,245,20733,94,8289,20,1401,10,15220,51,funding閾値 -0.004,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.004}",153.9,cr_oos_C004_20260907015518_2270,cr_oos_C004_20260907015518_2270_deals.csv
C005,F1,OOS,OK,119193.0,1.498,2.9933,0.4334,469,20752,50,52540,245,20733,94,8289,20,1659,9,15220,51,funding閾値 -0.005,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.005}",153.9,cr_oos_C005_20260907015752_0b0f,cr_oos_C005_20260907015752_0b0f_deals.csv
C006,F1,OOS,OK,119119.0,1.4977,2.9937,0.4332,469,20752,50,52540,245,20733,94,8289,20,1585,9,15220,51,funding閾値 -0.006,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.006}",148.9,cr_oos_C006_20260907020026_0711,cr_oos_C006_20260907020026_0711_deals.csv
C007,F1,OOS,OK,119481.0,1.4995,2.992,0.4345,468,20752,50,52540,245,20733,94,8289,20,1947,8,15220,51,funding閾値 -0.008,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.008}",149.0,cr_oos_C007_20260907020255_b237,cr_oos_C007_20260907020255_b237_deals.csv
C008,F2,OOS,OK,119708.0,1.5003,3.0938,0.4353,476,20752,50,52540,245,20733,94,8289,20,2174,16,15220,51,funding保有上限 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 5, ""FundThreshold"": -0.003}",149.0,cr_oos_C008_20260907020524_9cc6,cr_oos_C008_20260907020524_9cc6_deals.csv
C009,F2,OOS,OK,112528.0,1.4621,3.0649,0.4092,473,20752,50,52540,245,20733,94,8289,20,-3435,13,15220,51,funding保有上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.003}",148.9,cr_oos_C009_20260907020753_9397,cr_oos_C009_20260907020753_9397_deals.csv
C010,F2,OOS,OK,111846.0,1.4564,3.2821,0.4067,470,20752,50,52540,245,20733,94,8289,20,-5688,10,15220,51,funding保有上限 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 15, ""FundThreshold"": -0.003}",148.9,cr_oos_C010_20260907021022_a77d,cr_oos_C010_20260907021022_a77d_deals.csv
C011,F2,OOS,OK,114717.0,1.4704,2.9978,0.4172,469,20752,50,52540,245,20733,94,8289,20,2059,9,15220,51,funding保有上限 25日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 25, ""FundThreshold"": -0.003}",154.0,cr_oos_C011_20260907021251_8339,cr_oos_C011_20260907021251_8339_deals.csv
C012,F2,OOS,OK,116114.0,1.4794,2.9912,0.4222,468,20752,50,52540,245,20733,94,8289,20,3456,8,15220,51,funding保有上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.003}",154.0,cr_oos_C012_20260907021525_e767,cr_oos_C012_20260907021525_e767_deals.csv
C013,F2,OOS,OK,114835.0,1.4742,2.9973,0.4176,467,20752,50,52540,245,20733,94,8289,20,2177,7,15220,51,funding保有上限 40日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 40, ""FundThreshold"": -0.003}",159.0,cr_oos_C013_20260907021759_b147,cr_oos_C013_20260907021759_b147_deals.csv
C014,F3,OOS,OK,112528.0,1.4621,3.0649,0.4092,473,20752,50,52540,245,20733,94,8289,20,-3435,13,15220,51,funding閾値 -0.002・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.002}",153.9,cr_oos_C014_20260907022038_ddc6,cr_oos_C014_20260907022038_ddc6_deals.csv
C015,F3,OOS,OK,116114.0,1.4794,2.9912,0.4222,468,20752,50,52540,245,20733,94,8289,20,3456,8,15220,51,funding閾値 -0.002・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.002}",153.9,cr_oos_C015_20260907022312_f12b,cr_oos_C015_20260907022312_f12b_deals.csv
C016,F3,OOS,OK,114099.0,1.4715,3.0649,0.4149,472,20752,50,52540,245,20733,94,8289,20,-3435,12,15220,51,funding閾値 -0.004・上限 10日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 10, ""FundThreshold"": -0.004}",149.0,cr_oos_C016_20260907022546_f482,cr_oos_C016_20260907022546_f482_deals.csv
C017,F3,OOS,OK,116114.0,1.4794,2.9912,0.4222,468,20752,50,52540,245,20733,94,8289,20,3456,8,15220,51,funding閾値 -0.004・上限 30日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 30, ""FundThreshold"": -0.004}",158.9,cr_oos_C017_20260907022815_e272,cr_oos_C017_20260907022815_e272_deals.csv
C018,B1,OOS,OK,98858.0,1.3917,4.3173,0.3595,486,20752,50,52540,245,20733,94,8289,20,1401,10,-4857,67,Bfx建玉急減閾値 5.0%,"{""BfxDropPct"": 5.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",158.9,cr_oos_C018_20260907023054_de79,cr_oos_C018_20260907023054_de79_deals.csv
C019,B1,OOS,OK,113862.0,1.4665,3.0189,0.414,476,20752,50,52540,245,20733,94,8289,20,1401,10,10147,57,Bfx建玉急減閾値 7.5%,"{""BfxDropPct"": 7.5, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",159.1,cr_oos_C019_20260907023333_d2b3,cr_oos_C019_20260907023333_d2b3_deals.csv
C020,B1,OOS,OK,128494.0,1.5409,2.9655,0.4673,466,20752,50,52540,245,20733,94,8289,20,1401,10,24779,47,Bfx建玉急減閾値 12.5%,"{""BfxDropPct"": 12.5, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",154.2,cr_oos_C020_20260907023612_4b09,cr_oos_C020_20260907023612_4b09_deals.csv
C021,B1,OOS,OK,126540.0,1.5444,3.4898,0.4601,458,20752,50,52540,245,20733,94,8289,20,1401,10,22825,39,Bfx建玉急減閾値 15.0%,"{""BfxDropPct"": 15.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",196.0,cr_oos_C021_20260907023846_1496,cr_oos_C021_20260907023846_1496_deals.csv
C022,B1,OOS,OK,114378.0,1.4979,3.5574,0.4159,451,20752,50,52540,245,20733,94,8289,20,1401,10,10663,32,Bfx建玉急減閾値 20.0%,"{""BfxDropPct"": 20.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 10, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",143.8,cr_oos_C022_20260907024202_4248,cr_oos_C022_20260907024202_4248_deals.csv
C023,B2,OOS,OK,108845.0,1.4447,4.0477,0.3958,468,20752,50,52540,245,20733,94,8289,20,1401,10,5130,49,Bfx観測窓 3日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 3, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",158.9,cr_oos_C023_20260907024426_6833,cr_oos_C023_20260907024426_6833_deals.csv
C024,B2,OOS,OK,114004.0,1.4696,3.0344,0.4146,470,20752,50,52540,245,20733,94,8289,20,1401,10,10289,51,Bfx観測窓 5日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 5, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",158.9,cr_oos_C024_20260907024705_da0e,cr_oos_C024_20260907024705_da0e_deals.csv
C025,B2,OOS,OK,113620.0,1.4603,3.6172,0.4132,473,20752,50,52540,245,20733,94,8289,20,1401,10,9905,54,Bfx観測窓 7日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 7, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",158.9,cr_oos_C025_20260907024944_6fb6,cr_oos_C025_20260907024944_6fb6_deals.csv
C026,B2,OOS,OK,114242.0,1.4477,4.4588,0.4154,471,20752,50,52540,245,20733,94,8289,20,1401,10,10527,52,Bfx観測窓 15日,"{""BfxDropPct"": 10.0, ""BfxHoldDays"": 10, ""BfxLookbackDays"": 15, ""FundMaxHold"": 20, ""FundThreshold"": -0.003}",153.9,cr_oos_C026_20260907025223_8081,cr_oos_C026_20260907025223_8081_deals.csv
