proposal_id,family,family_name,class,overview,rationale,test_method,variation
F01-32,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.75}"
F01-33,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.9}"
F01-34,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.9}"
F01-35,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.9}"
F01-36,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.9}"
F01-37,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.9}"
F01-38,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.9}"
F01-39,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.9}"
F01-40,F01,sleeve DD throttle,B,各スリーブの確定損益DDが閾値超過時に新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.9}"
F02-01,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.0}"
F02-02,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.0}"
F02-03,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.0}"
F02-04,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.0}"
F02-05,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.0}"
F02-06,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.0}"
F02-07,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.0}"
F02-08,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.0}"
F02-09,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.25}"
F02-10,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.25}"
F02-11,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.25}"
F02-12,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.25}"
F02-13,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.25}"
F02-14,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.25}"
F02-15,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.25}"
F02-16,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.25}"
F02-17,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.5}"
F02-18,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.5}"
F02-19,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.5}"
F02-20,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.5}"
F02-21,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.5}"
F02-22,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.5}"
F02-23,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.5}"
F02-24,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.5}"
F02-25,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.75}"
F02-26,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.75}"
F02-27,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.75}"
F02-28,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.75}"
F02-29,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.75}"
F02-30,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.75}"
F02-31,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.75}"
F02-32,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.75}"
F02-33,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.9}"
F02-34,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.9}"
F02-35,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.9}"
F02-36,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.9}"
F02-37,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.9}"
F02-38,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.9}"
F02-39,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.9}"
F02-40,F02,portfolio equity throttle,B,合算equityの過去ピーク比DDで全新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.9}"
F03-01,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.0}"
F03-02,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.0}"
F03-03,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.0}"
F03-04,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.0}"
F03-05,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.0}"
F03-06,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.0}"
F03-07,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.0}"
F03-08,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.0}"
F03-09,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.25}"
F03-10,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.25}"
F03-11,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.25}"
F03-12,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.25}"
F03-13,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.25}"
F03-14,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 60, ""risk_scale"": 0.25}"
F03-15,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 90, ""risk_scale"": 0.25}"
F03-16,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 120, ""risk_scale"": 0.25}"
F03-17,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 8, ""risk_scale"": 0.5}"
F03-18,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 12, ""risk_scale"": 0.5}"
F03-19,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 20, ""risk_scale"": 0.5}"
F03-20,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 30, ""risk_scale"": 0.5}"
F03-21,F03,loss-streak brake,B,スリーブ別連敗数に応じて新規lotを縮小,現行deal列の弱点または未観測の執行情報を対象化,entry時点までの確定dealのみでlot倍率を決定しIS/OOS/全期間を再生,"{""lookback_completed_deals"": 45, ""risk_scale"": 0.5}"
