id,family,overview,rationale,test_method,variation,implementation_class,status,parameter_json,unverified_reason
OAFX1012,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.1}",
OAFX1013,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.2}",
OAFX1014,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.3}",
OAFX1015,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.4}",
OAFX1016,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.5,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.5}",
OAFX1017,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.6,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.6}",
OAFX1018,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.7,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.7}",
OAFX1019,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.8,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.8}",
OAFX1020,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.55; Oafx2TargetBlend=0.9,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.55, ""Oafx2TargetBlend"": 0.9}",
OAFX1021,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0}",
OAFX1022,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.1}",
OAFX1023,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.2}",
OAFX1024,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.3}",
OAFX1025,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.4}",
OAFX1026,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.5,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.5}",
OAFX1027,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.6,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.6}",
OAFX1028,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.7,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.7}",
OAFX1029,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.8,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.8}",
OAFX1030,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.65; Oafx2TargetBlend=0.9,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.65, ""Oafx2TargetBlend"": 0.9}",
OAFX1031,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0}",
OAFX1032,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.1}",
OAFX1033,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.2}",
OAFX1034,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.3}",
OAFX1035,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.4}",
OAFX1036,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.5,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.5}",
OAFX1037,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.6,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.6}",
OAFX1038,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.7,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.7}",
OAFX1039,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.8,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.8}",
OAFX1040,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.75; Oafx2TargetBlend=0.9,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.75, ""Oafx2TargetBlend"": 0.9}",
OAFX1041,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0}",
OAFX1042,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.1}",
OAFX1043,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.2}",
OAFX1044,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.3}",
OAFX1045,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.4}",
OAFX1046,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.5,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.5}",
OAFX1047,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.6,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.6}",
OAFX1048,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.7,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.7}",
OAFX1049,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.8,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.8}",
OAFX1050,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.85; Oafx2TargetBlend=0.9,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.85, ""Oafx2TargetBlend"": 0.9}",
OAFX1051,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.95; Oafx2TargetBlend=0,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.95, ""Oafx2TargetBlend"": 0}",
OAFX1052,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.95; Oafx2TargetBlend=0.1,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.95, ""Oafx2TargetBlend"": 0.1}",
OAFX1053,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.95; Oafx2TargetBlend=0.2,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.95, ""Oafx2TargetBlend"": 0.2}",
OAFX1054,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.95; Oafx2TargetBlend=0.3,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.95, ""Oafx2TargetBlend"": 0.3}",
OAFX1055,gj_initial_stop_atr_cap,SCA GBPJPYの初期SL距離を日足ATR上限で浅くし、TP距離を新旧リスク間で補間,主因枠の含み損深度を発注直後から制限しつつ、シグナルと発注回数は維持する,全シグナルを発注し、元SLより近い場合だけATR上限SLと補間TPを設定してEA実測,Oafx2StopCapATR=0.95; Oafx2TargetBlend=0.4,2軽微なコード変更,UNTESTED,"{""Oafx2LabMode"": 101, ""Oafx2StopCapATR"": 0.95, ""Oafx2TargetBlend"": 0.4}",
