id,family,template,symbol,period,tag,priority,lot,note
N034,PB_未踏指数,PullbackTrend,UK100Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N035,PB_未踏指数,PullbackTrend,GER40Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N036,PB_未踏指数,PullbackTrend,EU50Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N037,PB_未踏指数,PullbackTrend,HK50Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N038,PB_未踏指数,PullbackTrend,AUS200Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N039,PB_未踏指数,PullbackTrend,FRA40Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N040,PB_未踏指数,PullbackTrend,JP225Cash,H4,std,C,1.0,US100/JP225/OIL以外の指数
N041,RSI_未踏円クロス,RSI_Reversal,EURJPY,H4,std,A,0.01,円クロス（RSIは未検証）
N042,RSI_未踏円クロス,RSI_Reversal,CHFJPY,H4,std,A,0.01,円クロス（RSIは未検証）
N043,RSI_未踏円クロス,RSI_Reversal,CADJPY,H4,std,A,0.01,円クロス（RSIは未検証）
N044,RSI_未踏円クロス,RSI_Reversal,NZDJPY,H4,std,A,0.01,円クロス（RSIは未検証）
N045,RSI_未踏円クロス,RSI_Reversal,AUDJPY,H4,std,A,0.01,円クロス（RSIは未検証）
N046,RSI_未踏クロス,RSI_Reversal,AUDCAD,H4,std,A,0.01,非円クロス14本
N047,RSI_未踏クロス,RSI_Reversal,AUDCHF,H4,std,A,0.01,非円クロス14本
N048,RSI_未踏クロス,RSI_Reversal,AUDNZD,H4,std,A,0.01,非円クロス14本
N049,RSI_未踏クロス,RSI_Reversal,NZDCAD,H4,std,A,0.01,非円クロス14本
N050,RSI_未踏クロス,RSI_Reversal,NZDCHF,H4,std,A,0.01,非円クロス14本
N051,RSI_未踏クロス,RSI_Reversal,CADCHF,H4,std,A,0.01,非円クロス14本
N052,RSI_未踏クロス,RSI_Reversal,EURCAD,H4,std,A,0.01,非円クロス14本
N053,RSI_未踏クロス,RSI_Reversal,EURCHF,H4,std,A,0.01,非円クロス14本
N054,RSI_未踏クロス,RSI_Reversal,EURNZD,H4,std,A,0.01,非円クロス14本
N055,RSI_未踏クロス,RSI_Reversal,EURAUD,H4,std,A,0.01,非円クロス14本
N056,RSI_未踏クロス,RSI_Reversal,GBPAUD,H4,std,A,0.01,非円クロス14本
N057,RSI_未踏クロス,RSI_Reversal,GBPCAD,H4,std,A,0.01,非円クロス14本
N058,RSI_未踏クロス,RSI_Reversal,GBPCHF,H4,std,A,0.01,非円クロス14本
N059,RSI_未踏クロス,RSI_Reversal,GBPNZD,H4,std,A,0.01,非円クロス14本
N060,RSI_D1変種,RSI_Reversal,EURUSD,D1,std,B,0.01,既存採用ペアのD1版
N061,RSI_D1変種,RSI_Reversal,USDJPY,D1,std,B,0.01,既存採用ペアのD1版
N062,RSI_D1変種,RSI_Reversal,GBPUSD,D1,std,B,0.01,既存採用ペアのD1版
N063,RSI_EM逆張り,RSI_Reversal,USDMXN,H4,std,A,0.01,新興国通貨レンジ回帰（新市場）
N064,RSI_EM逆張り,RSI_Reversal,USDZAR,H4,std,A,0.01,新興国通貨レンジ回帰（新市場）
N065,RSI_EM逆張り,RSI_Reversal,USDTRY,H4,std,A,0.01,新興国通貨レンジ回帰（新市場）
N066,RSI_EM逆張り,RSI_Reversal,EURTRY,H4,std,A,0.01,新興国通貨レンジ回帰（新市場）
N067,RSI_EM逆張り,RSI_Reversal,EURZAR,H4,std,A,0.01,新興国通貨レンジ回帰（新市場）
N068,VBO_未踏円クロス,VolBreakout,EURJPY,H4,std,A,0.01,円クロス残り4本
N069,VBO_未踏円クロス,VolBreakout,CHFJPY,H4,std,A,0.01,円クロス残り4本
N070,VBO_未踏円クロス,VolBreakout,CADJPY,H4,std,A,0.01,円クロス残り4本
N071,VBO_未踏円クロス,VolBreakout,NZDJPY,H4,std,A,0.01,円クロス残り4本
N072,VBO_未踏クロス,VolBreakout,AUDCAD,H4,std,B,0.01,非円クロス14本
N073,VBO_未踏クロス,VolBreakout,AUDCHF,H4,std,B,0.01,非円クロス14本
N074,VBO_未踏クロス,VolBreakout,AUDNZD,H4,std,B,0.01,非円クロス14本
N075,VBO_未踏クロス,VolBreakout,NZDCAD,H4,std,B,0.01,非円クロス14本
N076,VBO_未踏クロス,VolBreakout,NZDCHF,H4,std,B,0.01,非円クロス14本
N077,VBO_未踏クロス,VolBreakout,CADCHF,H4,std,B,0.01,非円クロス14本
N078,VBO_未踏クロス,VolBreakout,EURCAD,H4,std,B,0.01,非円クロス14本
N079,VBO_未踏クロス,VolBreakout,EURCHF,H4,std,B,0.01,非円クロス14本
N080,VBO_未踏クロス,VolBreakout,EURNZD,H4,std,B,0.01,非円クロス14本
N081,VBO_未踏クロス,VolBreakout,EURAUD,H4,std,B,0.01,非円クロス14本
N082,VBO_未踏クロス,VolBreakout,GBPAUD,H4,std,B,0.01,非円クロス14本
N083,VBO_未踏クロス,VolBreakout,GBPCAD,H4,std,B,0.01,非円クロス14本
N084,VBO_未踏クロス,VolBreakout,GBPCHF,H4,std,B,0.01,非円クロス14本
N085,VBO_未踏クロス,VolBreakout,GBPNZD,H4,std,B,0.01,非円クロス14本
N086,VBO_他貴金属,VolBreakout,SILVER,H4,std,B,0.01,スクイーズ→拡大は貴金属と相性未検証
N087,VBO_他貴金属,VolBreakout,PLAT-OCT26,H4,std,B,0.01,スクイーズ→拡大は貴金属と相性未検証
N088,VBO_他貴金属,VolBreakout,PALL-SEP26,H4,std,B,0.01,スクイーズ→拡大は貴金属と相性未検証
N089,VBO_他貴金属,VolBreakout,HGCOP-SEP26,H4,std,B,0.01,スクイーズ→拡大は貴金属と相性未検証
N090,VBO_ソフト/エネルギー,VolBreakout,COCOA-SEP26,H4,std,C,1.0,未踏コモディティ
N091,VBO_ソフト/エネルギー,VolBreakout,COFFE-SEP26,H4,std,C,1.0,未踏コモディティ
N092,VBO_ソフト/エネルギー,VolBreakout,CORN-SEP26,H4,std,C,1.0,未踏コモディティ
N093,VBO_ソフト/エネルギー,VolBreakout,COTTO-DEC26,H4,std,C,1.0,未踏コモディティ
N094,VBO_ソフト/エネルギー,VolBreakout,SUGAR-OCT26,H4,std,C,1.0,未踏コモディティ
N095,VBO_ソフト/エネルギー,VolBreakout,WHEAT-SEP26,H4,std,C,1.0,未踏コモディティ
N096,VBO_ソフト/エネルギー,VolBreakout,OILCash,H4,std,C,1.0,未踏コモディティ
N097,VBO_ソフト/エネルギー,VolBreakout,NGASCash,H4,std,C,1.0,未踏コモディティ
N098,VBO_未踏指数,VolBreakout,US30Cash,H4,std,C,1.0,未踏指数
N099,VBO_未踏指数,VolBreakout,US500Cash,H4,std,C,1.0,未踏指数
N100,VBO_未踏指数,VolBreakout,US100Cash,H4,std,C,1.0,未踏指数
N101,VBO_未踏指数,VolBreakout,UK100Cash,H4,std,C,1.0,未踏指数
N102,VBO_未踏指数,VolBreakout,GER40Cash,H4,std,C,1.0,未踏指数
N103,VBO_未踏指数,VolBreakout,EU50Cash,H4,std,C,1.0,未踏指数
N104,VBO_未踏指数,VolBreakout,HK50Cash,H4,std,C,1.0,未踏指数
N105,VBO_未踏指数,VolBreakout,AUS200Cash,H4,std,C,1.0,未踏指数
N106,VBO_未踏指数,VolBreakout,FRA40Cash,H4,std,C,1.0,未踏指数
N107,VBO_未踏指数,VolBreakout,JP225Cash,H4,std,C,1.0,未踏指数
N108,SCA_未踏市場,SCA_EA,EURJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）
N109,SCA_未踏市場,SCA_EA,AUDJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）
N110,SCA_未踏市場,SCA_EA,NZDJPY,M15,std,S,0.01,セッションORB横展開（実績テンプレ）
N111,SCA_未踏市場,SCA_EA,CHFJPY,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N112,SCA_未踏市場,SCA_EA,CADJPY,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N113,SCA_未踏市場,SCA_EA,EURUSD,M15,std,S,0.01,セッションORB横展開（実績テンプレ）
N114,SCA_未踏市場,SCA_EA,GBPUSD,M15,std,S,0.01,セッションORB横展開（実績テンプレ）
N115,SCA_未踏市場,SCA_EA,AUDUSD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N116,SCA_未踏市場,SCA_EA,NZDUSD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N117,SCA_未踏市場,SCA_EA,USDCAD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N118,SCA_未踏市場,SCA_EA,USDCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N119,SCA_未踏市場,SCA_EA,AUDCAD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N120,SCA_未踏市場,SCA_EA,AUDCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N121,SCA_未踏市場,SCA_EA,AUDNZD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N122,SCA_未踏市場,SCA_EA,NZDCAD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N123,SCA_未踏市場,SCA_EA,NZDCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N124,SCA_未踏市場,SCA_EA,CADCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N125,SCA_未踏市場,SCA_EA,EURCAD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N126,SCA_未踏市場,SCA_EA,EURCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N127,SCA_未踏市場,SCA_EA,EURNZD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N128,SCA_未踏市場,SCA_EA,EURAUD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N129,SCA_未踏市場,SCA_EA,GBPAUD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N130,SCA_未踏市場,SCA_EA,GBPCAD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N131,SCA_未踏市場,SCA_EA,GBPCHF,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N132,SCA_未踏市場,SCA_EA,GBPNZD,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N133,SCA_未踏市場,SCA_EA,USDMXN,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N134,SCA_未踏市場,SCA_EA,USDZAR,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N135,SCA_未踏市場,SCA_EA,USDTRY,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N136,SCA_未踏市場,SCA_EA,EURTRY,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N137,SCA_未踏市場,SCA_EA,EURZAR,M15,std,A,0.01,セッションORB横展開（実績テンプレ）
N138,Carry_FX高スワップ,Carry,NZDJPY,D1,std,A,0.01,AUDJPY以外の高スワップFX
N139,Carry_FX高スワップ,Carry,GBPNZD,D1,std,A,0.01,AUDJPY以外の高スワップFX
N140,Carry_FX高スワップ,Carry,NZDUSD,D1,std,A,0.01,AUDJPY以外の高スワップFX
N141,Carry_FX高スワップ,Carry,AUDUSD,D1,std,A,0.01,AUDJPY以外の高スワップFX
N142,Carry_FX高スワップ,Carry,AUDNZD,D1,std,A,0.01,AUDJPY以外の高スワップFX
N143,Carry_FX高スワップ,Carry,GBPAUD,D1,std,A,0.01,AUDJPY以外の高スワップFX
N144,Carry_EM高スワップ,Carry,USDMXN,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）
N145,Carry_EM高スワップ,Carry,USDZAR,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）
N146,Carry_EM高スワップ,Carry,USDTRY,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）
N147,Carry_EM高スワップ,Carry,EURTRY,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）
N148,Carry_EM高スワップ,Carry,EURZAR,D1,std,S,0.01,新興国通貨キャリー（新市場・高スワップ）
N149,Carry_貴金属,Carry,SILVER,D1,std,C,0.01,貴金属の長期トレンド保有
N150,Carry_貴金属,Carry,PLAT-OCT26,D1,std,C,0.01,貴金属の長期トレンド保有
N151,Carry_貴金属,Carry,PALL-SEP26,D1,std,C,0.01,貴金属の長期トレンド保有
N152,PB_H1変種,PullbackTrend,EURJPY,H1,std,C,0.01,H4がダメでも短TFで機能するか
N153,PB_H1変種,PullbackTrend,CHFJPY,H1,std,C,0.01,H4がダメでも短TFで機能するか
N154,PB_H1変種,PullbackTrend,CADJPY,H1,std,C,0.01,H4がダメでも短TFで機能するか
N155,PB_H1変種,PullbackTrend,NZDJPY,H1,std,C,0.01,H4がダメでも短TFで機能するか
N156,PB_H1変種,PullbackTrend,AUDCAD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N157,PB_H1変種,PullbackTrend,AUDCHF,H1,std,C,0.01,H4がダメでも短TFで機能するか
N158,PB_H1変種,PullbackTrend,AUDNZD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N159,PB_H1変種,PullbackTrend,NZDCAD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N160,PB_H1変種,PullbackTrend,NZDCHF,H1,std,C,0.01,H4がダメでも短TFで機能するか
N161,PB_H1変種,PullbackTrend,CADCHF,H1,std,C,0.01,H4がダメでも短TFで機能するか
N162,PB_H1変種,PullbackTrend,EURCAD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N163,PB_H1変種,PullbackTrend,EURCHF,H1,std,C,0.01,H4がダメでも短TFで機能するか
N164,PB_H1変種,PullbackTrend,EURNZD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N165,PB_H1変種,PullbackTrend,EURAUD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N166,PB_H1変種,PullbackTrend,GBPAUD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N167,PB_H1変種,PullbackTrend,GBPCAD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N168,PB_H1変種,PullbackTrend,GBPCHF,H1,std,C,0.01,H4がダメでも短TFで機能するか
N169,PB_H1変種,PullbackTrend,GBPNZD,H1,std,C,0.01,H4がダメでも短TFで機能するか
N170,RSI_ATR固定SL,RSI_Reversal,EURJPY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N171,RSI_ATR固定SL,RSI_Reversal,CHFJPY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N172,RSI_ATR固定SL,RSI_Reversal,CADJPY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N173,RSI_ATR固定SL,RSI_Reversal,NZDJPY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N174,RSI_ATR固定SL,RSI_Reversal,AUDJPY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N175,RSI_ATR固定SL,RSI_Reversal,AUDCAD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N176,RSI_ATR固定SL,RSI_Reversal,AUDCHF,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N177,RSI_ATR固定SL,RSI_Reversal,AUDNZD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N178,RSI_ATR固定SL,RSI_Reversal,NZDCAD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N179,RSI_ATR固定SL,RSI_Reversal,NZDCHF,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N180,RSI_ATR固定SL,RSI_Reversal,CADCHF,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N181,RSI_ATR固定SL,RSI_Reversal,EURCAD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N182,RSI_ATR固定SL,RSI_Reversal,EURCHF,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N183,RSI_ATR固定SL,RSI_Reversal,EURNZD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N184,RSI_ATR固定SL,RSI_Reversal,EURAUD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N185,RSI_ATR固定SL,RSI_Reversal,GBPAUD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N186,RSI_ATR固定SL,RSI_Reversal,GBPCAD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N187,RSI_ATR固定SL,RSI_Reversal,GBPCHF,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N188,RSI_ATR固定SL,RSI_Reversal,GBPNZD,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N189,RSI_ATR固定SL,RSI_Reversal,USDMXN,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N190,RSI_ATR固定SL,RSI_Reversal,USDZAR,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N191,RSI_ATR固定SL,RSI_Reversal,USDTRY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N192,RSI_ATR固定SL,RSI_Reversal,EURTRY,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N193,RSI_ATR固定SL,RSI_Reversal,EURZAR,H4,atrstop,C,0.01,ATRベースSL/TP版（固定pipsの代替）
N194,VBO_トレール短縮,VolBreakout,EURJPY,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N195,VBO_トレール短縮,VolBreakout,CHFJPY,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N196,VBO_トレール短縮,VolBreakout,CADJPY,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N197,VBO_トレール短縮,VolBreakout,NZDJPY,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N198,VBO_トレール短縮,VolBreakout,AUDCAD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N199,VBO_トレール短縮,VolBreakout,AUDCHF,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N200,VBO_トレール短縮,VolBreakout,AUDNZD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N201,VBO_トレール短縮,VolBreakout,NZDCAD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N202,VBO_トレール短縮,VolBreakout,NZDCHF,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N203,VBO_トレール短縮,VolBreakout,CADCHF,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N204,VBO_トレール短縮,VolBreakout,EURCAD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N205,VBO_トレール短縮,VolBreakout,EURCHF,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N206,VBO_トレール短縮,VolBreakout,EURNZD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N207,VBO_トレール短縮,VolBreakout,EURAUD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N208,VBO_トレール短縮,VolBreakout,GBPAUD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N209,VBO_トレール短縮,VolBreakout,GBPCAD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N210,VBO_トレール短縮,VolBreakout,GBPCHF,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N211,VBO_トレール短縮,VolBreakout,GBPNZD,H4,trail20,C,0.01,Trail_Mult=2.0（利伸ばし短縮）
N212,SCA_レンジ緩和,SCA_EA,EURJPY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N213,SCA_レンジ緩和,SCA_EA,AUDJPY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N214,SCA_レンジ緩和,SCA_EA,NZDJPY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N215,SCA_レンジ緩和,SCA_EA,CHFJPY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N216,SCA_レンジ緩和,SCA_EA,CADJPY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N217,SCA_レンジ緩和,SCA_EA,EURUSD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N218,SCA_レンジ緩和,SCA_EA,GBPUSD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N219,SCA_レンジ緩和,SCA_EA,AUDUSD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N220,SCA_レンジ緩和,SCA_EA,NZDUSD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N221,SCA_レンジ緩和,SCA_EA,USDCAD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N222,SCA_レンジ緩和,SCA_EA,USDCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N223,SCA_レンジ緩和,SCA_EA,AUDCAD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N224,SCA_レンジ緩和,SCA_EA,AUDCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N225,SCA_レンジ緩和,SCA_EA,AUDNZD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N226,SCA_レンジ緩和,SCA_EA,NZDCAD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N227,SCA_レンジ緩和,SCA_EA,NZDCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N228,SCA_レンジ緩和,SCA_EA,CADCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N229,SCA_レンジ緩和,SCA_EA,EURCAD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N230,SCA_レンジ緩和,SCA_EA,EURCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N231,SCA_レンジ緩和,SCA_EA,EURNZD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N232,SCA_レンジ緩和,SCA_EA,EURAUD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N233,SCA_レンジ緩和,SCA_EA,GBPAUD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N234,SCA_レンジ緩和,SCA_EA,GBPCAD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N235,SCA_レンジ緩和,SCA_EA,GBPCHF,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N236,SCA_レンジ緩和,SCA_EA,GBPNZD,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N237,SCA_レンジ緩和,SCA_EA,USDMXN,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N238,SCA_レンジ緩和,SCA_EA,USDZAR,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N239,SCA_レンジ緩和,SCA_EA,USDTRY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N240,SCA_レンジ緩和,SCA_EA,EURTRY,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N241,SCA_レンジ緩和,SCA_EA,EURZAR,M15,range_wide,B,0.01,MinRange/MaxRangeを緩和した変種
N242,Carry_ヒステリシス変種,Carry,USDMXN,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N243,Carry_ヒステリシス変種,Carry,USDZAR,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N244,Carry_ヒステリシス変種,Carry,USDTRY,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N245,Carry_ヒステリシス変種,Carry,EURTRY,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N246,Carry_ヒステリシス変種,Carry,EURZAR,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N247,Carry_ヒステリシス変種,Carry,NZDJPY,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N248,Carry_ヒステリシス変種,Carry,GBPNZD,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
N249,Carry_ヒステリシス変種,Carry,NZDUSD,D1,hyst15,B,0.01,Hyst_ATR_Mult=1.5（帯を広げた変種）
