id,family,template,symbol,period,params,priority,lot,note
M019,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M020,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M021,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M022,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M023,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M024,PB_MTF合流変種,PullbackTrend,USDJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M025,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M026,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M027,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M028,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M029,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M030,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M031,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M032,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M033,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M034,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M035,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M036,PB応答曲面_ADXxRR,PullbackTrend,GBPJPY,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M037,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M038,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M039,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M040,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M041,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M042,PB応答曲面_傾きxSL,PullbackTrend,GBPJPY,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M043,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M044,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M045,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M046,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M047,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M048,PB_MTF合流変種,PullbackTrend,GBPJPY,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M049,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M050,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M051,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 15, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M052,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M053,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M054,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 18, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M055,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M056,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M057,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 25, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M058,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 1.5}",S,0.01,ADX閾値×RR比の格子
M059,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 2.5}",S,0.01,ADX閾値×RR比の格子
M060,PB応答曲面_ADXxRR,PullbackTrend,GOLD,H4,"{'ADX_Threshold': 30, 'RR_Ratio': 3.0}",S,0.01,ADX閾値×RR比の格子
M061,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M062,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 0.8, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M063,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M064,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 1.5, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M065,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 1.5}",S,0.01,環境フィルター強度×SL幅の格子
M066,PB応答曲面_傾きxSL,PullbackTrend,GOLD,H4,"{'MA_Slope_Min_ATR': 2.0, 'ATR_SL_Mult': 2.5}",S,0.01,環境フィルター強度×SL幅の格子
M067,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M068,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M069,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '16408', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M070,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 100}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M071,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 200}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M072,PB_MTF合流変種,PullbackTrend,GOLD,H4,"{'UseHigherTFFilter': True, 'HigherTF': '20', 'HigherTF_MA': 300}",A,0.01,MTF合流フィルターのMA期間変種（既存採用の周辺探索）
M073,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M074,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M075,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M076,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M077,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M078,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M079,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M080,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M081,RSI応答曲面_OBxOS,RSI_Reversal,EURUSD,H1,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M082,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子
M083,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子
M084,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子
M085,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子
M086,RSI応答曲面_レンジ閾値,RSI_Reversal,EURUSD,H1,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子
M087,RSI応答曲面_BB,RSI_Reversal,EURUSD,H1,{'BB_Deviation': 2.0},A,0.01,BB偏差の格子
M088,RSI応答曲面_BB,RSI_Reversal,EURUSD,H1,{'BB_Deviation': 3.0},A,0.01,BB偏差の格子
M089,RSI応答曲面_BB,RSI_Reversal,EURUSD,H1,{'BB_Deviation': 3.5},A,0.01,BB偏差の格子
M090,RSI応答曲面_SLxTP,RSI_Reversal,EURUSD,H1,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M091,RSI応答曲面_SLxTP,RSI_Reversal,EURUSD,H1,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M092,RSI応答曲面_SLxTP,RSI_Reversal,EURUSD,H1,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M093,RSI応答曲面_SLxTP,RSI_Reversal,EURUSD,H1,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M094,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M095,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M096,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M097,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M098,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M099,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M100,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M101,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M102,RSI応答曲面_OBxOS,RSI_Reversal,USDJPY,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M103,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子
M104,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子
M105,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子
M106,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子
M107,RSI応答曲面_レンジ閾値,RSI_Reversal,USDJPY,H4,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子
M108,RSI応答曲面_BB,RSI_Reversal,USDJPY,H4,{'BB_Deviation': 2.0},A,0.01,BB偏差の格子
M109,RSI応答曲面_BB,RSI_Reversal,USDJPY,H4,{'BB_Deviation': 3.0},A,0.01,BB偏差の格子
M110,RSI応答曲面_BB,RSI_Reversal,USDJPY,H4,{'BB_Deviation': 3.5},A,0.01,BB偏差の格子
M111,RSI応答曲面_SLxTP,RSI_Reversal,USDJPY,H4,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M112,RSI応答曲面_SLxTP,RSI_Reversal,USDJPY,H4,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M113,RSI応答曲面_SLxTP,RSI_Reversal,USDJPY,H4,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M114,RSI応答曲面_SLxTP,RSI_Reversal,USDJPY,H4,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M115,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M116,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M117,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 70, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M118,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M119,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M120,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 75, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M121,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 20}",S,0.01,RSI閾値の格子
M122,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 25}",S,0.01,RSI閾値の格子
M123,RSI応答曲面_OBxOS,RSI_Reversal,GBPUSD,H4,"{'RSI_Overbought': 80, 'RSI_Oversold': 30}",S,0.01,RSI閾値の格子
M124,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.1},S,0.01,レンジフィルター閾値の細密格子
M125,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.15},S,0.01,レンジフィルター閾値の細密格子
M126,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.25},S,0.01,レンジフィルター閾値の細密格子
M127,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.3},S,0.01,レンジフィルター閾値の細密格子
M128,RSI応答曲面_レンジ閾値,RSI_Reversal,GBPUSD,H4,{'Range_Slope_Max_ATR': 0.4},S,0.01,レンジフィルター閾値の細密格子
M129,RSI応答曲面_BB,RSI_Reversal,GBPUSD,H4,{'BB_Deviation': 2.0},A,0.01,BB偏差の格子
M130,RSI応答曲面_BB,RSI_Reversal,GBPUSD,H4,{'BB_Deviation': 3.0},A,0.01,BB偏差の格子
M131,RSI応答曲面_BB,RSI_Reversal,GBPUSD,H4,{'BB_Deviation': 3.5},A,0.01,BB偏差の格子
M132,RSI応答曲面_SLxTP,RSI_Reversal,GBPUSD,H4,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M133,RSI応答曲面_SLxTP,RSI_Reversal,GBPUSD,H4,"{'StopLoss_Pips': 40, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M134,RSI応答曲面_SLxTP,RSI_Reversal,GBPUSD,H4,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 90}",A,0.01,固定pips SL/TPの格子
M135,RSI応答曲面_SLxTP,RSI_Reversal,GBPUSD,H4,"{'StopLoss_Pips': 55, 'TakeProfit_Pips': 120}",A,0.01,固定pips SL/TPの格子
M136,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子
M137,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子
M138,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子
M139,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 10, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子
M140,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子
M141,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子
M142,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子
M143,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 15, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子
M144,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子
M145,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子
M146,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子
M147,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 25, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子
M148,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 0.7}",S,0.01,チャネル期間×スクイーズ閾値の格子
M149,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 0.8}",S,0.01,チャネル期間×スクイーズ閾値の格子
M150,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 1.2}",S,0.01,チャネル期間×スクイーズ閾値の格子
M151,VBO応答曲面_チャネルxスクイーズ,VolBreakout,USDJPY,H4,"{'Channel_Period': 30, 'Squeeze_Factor': 1.5}",S,0.01,チャネル期間×スクイーズ閾値の格子
M152,VBO応答曲面_トレール,VolBreakout,USDJPY,H4,{'Trail_Mult': 1.5},A,0.01,トレール幅の格子
M153,VBO応答曲面_トレール,VolBreakout,USDJPY,H4,{'Trail_Mult': 2.0},A,0.01,トレール幅の格子
M154,VBO応答曲面_トレール,VolBreakout,USDJPY,H4,{'Trail_Mult': 2.5},A,0.01,トレール幅の格子
M155,VBO応答曲面_トレール,VolBreakout,USDJPY,H4,{'Trail_Mult': 4.0},A,0.01,トレール幅の格子
M156,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 100}",S,0.01,ヒステリシス帯×トレンドMA期間の格子
M157,Carry応答曲面_帯xMA,Carry,AUDJPY,D1,"{'Hyst_ATR_Mult': 0.25, 'TrendMA_Period': 150}",S,0.01,ヒステリシス帯×トレンドMA期間の格子
